,,,,,,,,,,,,,,,
Integrated Cold Chain Availability Platform (ICAP) of ANDHRA PRADESH for Year: 2010 - 2011 onwards as on date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Name of Agency: NATIONAL HORTICULTURE BOARD (NHB),,,,,,,,,,,,,,,
"Component Category: COLD / CA STORAGE,POST HARVEST INFRASTRUCTURE",,,,,,,,,,,,,,,
"Component: CA STORAGE,COLD STORAGE,COLD ROOM,CONVEYOR BELT,GRADING PACKING UNIT,PACK HOUSE,PRE-COOLING,REFER VAN,RIPENING CHAMBER,SPECIALIZED TRANSPORT VEHICLE",,,,,,,,,,,,,,,
District: ALL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sl. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details,,,,
,,,,,,,,,,,Component Category,Component,No. of Unit(s) / Chamber(s),Capacity,Unit of Capacity
Sl. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details,,,,
,,,,,,,,,,,Component Category,Component,No. of Unit(s) / Chamber(s),Capacity,Unit of Capacity
1,28AP2000000002,Andhra Pradesh,1999-00,Guntur,M/s Sravanthi Cold Storage Pvt. Ltd,Ankireddy Palem,0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,9350,MT
2,28AP2000000001,Andhra Pradesh,1999-00,Guntur,The Andhra Bank Farmers Service Cooperative Society,Ankireddy Palem,0,31.93,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,4800,MT
3,28AP2000000004,Andhra Pradesh,2000-01,Guntur,M/s Himabindu Cold Storage Pvt. Ltd.,Ankireddy Palem,0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,8480,MT
4,28AP2000000003,Andhra Pradesh,2000-01,Guntur,M/s Ramanjaneya Cold Storage Pvt. Ltd.,Ankireddy Palem,0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,8650,MT
5,28AP2000000005,Andhra Pradesh,2000-01,Srikakulam,M/s Vedamatha Cold Storage Pvt. Ltd,Munasabpeta,0,34.2,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,3420,MT
6,28AP2000000006,Andhra Pradesh,2000-01,Vizianagaram,M/s Bangaramma Cold Storage Pvt. Ltd,Gotlam Village,0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,7800,MT
7,28AP2001000007,Andhra Pradesh,2000-01,Visakhapatnam,M/s Bapajg Agro Products Cold Storage,Tallavalasa Village,0,33.98,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,3600,MT
