,0,1,2,3,4,5,6,7,8,9,10,11
0,1,18AS20010000174,Assam,2001-02,Cachar,Barak Cold Storage (P) Ltd.,Cachar (Assam),0.0,30.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
1,2,18AS20010000175,Assam,2001-02,Guwahati,Mahabir Cold Storage (P) Ltd.,Guwahati (Assam),0.0,60.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
2,3,18AS20010000176,Assam,2001-02,Cachar,Shri Lalit Cold Storage (P) Ltd.,Cachar (Assam),0.0,30.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
3,4,18AS20020000180,Assam,2002-03,Cachar,Barak Cold Storage,Cachar (Assam),0.0,30.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
4,5,18AS20020000181,Assam,2002-03,Guwahati,L. Daulo Builders & Suppliers (P) Ltd.,Guwahati,0.0,30.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
5,6,18AS20020000179,Assam,2002-03,Guwahati,North East Cold Storage Pvt. Ltd.,Guwahati,0.0,60.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
6,7,18AS20020000178,Assam,2002-03,Cachar,Shri Lalit Cold Storage,Cachar (Assam),0.0,30.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
7,8,18AAS0CS000004,Assam,2013-14,Karimganj,Dey's Cold Storage Pvt. Ltd.,"Village- Patel Nagar, P.O - Kanishail, Taluka- Karimganj, Distt- Karimganj (Assam)",635.64,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE45100.00MT
8,9,18AAS0CS000003,Assam,2013-14,Nagaon,Hojai Cold Storage,"Village- Dhanuhar Basti, Taluka- Hojai, Distt.- Nagaon (Assam)",492.0,165.0,NHB,Under Implementation,COLD / CA STORAGECOLD STORAGE45371.00MT
9,10,18AAS0CS000008,Assam,2014-15,Kamrup,Krishna Cold Storage,"Village-Gauripur, Taluka-North Guwahati, Dist-Kamrup (Assam)",768.85,228.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE46165.00MT
10,11,18AAS0CS000010,Assam,2015-16,Kamrup,Kamrupa Thanda Ghar Private Limited,"Village- Soarpara, Taluka- Chayani of Palasbari, Revenue Circle Mirza, Guwahati, Distt.- Kamrup(Assam)",1103.0,340.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE912222.00MT
11,12,18AAS0CS000009,Assam,2015-16,Tinsukia,Mahabir Cold Storage Pvt. Ltd.,"Village- Tda, Taluka- Tinsukia, Distt.- Tunisukia (Assam)",780.0,240.55,NHB,Completed,COLD / CA STORAGECOLD STORAGE37455.00MT
12,13,18AAS0CS000007,Assam,2016-17,Cachar,Maa Tara Cold Storage,"Village-Ambicapur Part-V, Taluka-Silchar, Dist-Cachar (Assam)",701.5,197.6,NHB,Completed,COLD / CA STORAGECOLD STORAGE35467.00MT
13,14,18AAS0CS000006,Assam,2016-17,Sonitpur,Suniti Prova Cold Storage,"Village-Gingia, Taluka-Biswanath Chariali, Dist-Sonitpur (Assam)",446.47,193.23,NHB,Completed,COLD / CA STORAGECOLD STORAGE45085.00MT
14,15,18AAS0CS000013,Assam,2018-19,Tinsukia,Riddhi Siddhi Freezing & Storage,"Village-Patia Pathar Gaon, Taluka & Dist-Tinsukia (Assam)",700.0,197.6,NHB,Completed,COLD / CA STORAGECOLD STORAGE25200.00MT
15,16,18AAS0CS000011,Assam,2018-19,Nagaon,Shree Niwas Cold Storage,"Village-Buragaon, Muaza- Kaki, Post-Jurapukhuri, Dist-Nagaon (Assam)",990.0,338.78,NHB,Completed,COLD / CA STORAGECOLD STORAGE410000.00MT
16,17,18AAS0CS000012,Assam,2019-20,Barpeta,Himalaya Cold Storage,"Village-Nizdamka, PO-Sorbhog, Dist-Barpeta (Assam)",1038.72,340.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE89999.73MT
