,0,1,2,3,4,5,6,7,8,9,10,11
0,1,PAT-12,Bihar,2000-01,Gaya,M/s Rambagh Cold Storage,"M/s Rambagh Cold Storage, Village Lakhanpur, Gaya",0.0,46.3,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06000.00MT
1,2,10BI20010000182,Bihar,2001-02,Patna,Freta Onion Storage,Patna (Bihar),0.0,6.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE0600.00MT
2,3,10BI20010000194,Bihar,2001-02,Patna,Freta Onion Storage,Gaurichak (Bihar),0.0,2.5,NHB,Completed,COLD / CA STORAGECOLD STORAGE0250.00MT
3,4,10BI20010000183,Bihar,2001-02,Patna,Grishta Cold Storage (P) Ltd.,Patna (Bihar),0.0,20.66,NHB,Completed,COLD / CA STORAGECOLD STORAGE02066.00MT
4,5,10BI20010000188,Bihar,2001-02,Begusarai,Him Ganga Cold Storage (P) Ltd.,Begusarai (Bihar),0.0,45.28,NHB,Completed,COLD / CA STORAGECOLD STORAGE04528.00MT
5,6,10BI20010000184,Bihar,2001-02,Begusarai,Keshav Sheet Grih (P) Ltd.,Begusarai (Bihar),0.0,50.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
6,7,10BI20010000185,Bihar,2001-02,Saran,Maiee Cold Storage (P) Ltd.,Saron (Bihar),0.0,11.21,NHB,Completed,COLD / CA STORAGECOLD STORAGE01121.00MT
7,8,10BI20010000186,Bihar,2001-02,Patna,Mehta Freezing (P) Ltd.,Patna (Bihar),0.0,39.5,NHB,Completed,COLD / CA STORAGECOLD STORAGE03950.00MT
8,9,10BI20010000187,Bihar,2001-02,Patna,Nalanda Samrat Cold Storage (P) Ltd.,Patna (Bihar),0.0,12.5,NHB,Completed,COLD / CA STORAGECOLD STORAGE01250.00MT
9,10,10BI20010000189,Bihar,2001-02,Patna,Rakesh Mukesh Cold Storage & Ice Plant (P) Ltd.,Patna (Bihar),0.0,43.94,NHB,Completed,COLD / CA STORAGECOLD STORAGE04394.00MT
10,11,10BI20010000190,Bihar,2001-02,Nalanda,Shree Hari Vishnu Cold Storage (P) Ltd.,Nalanda (Bihar),0.0,28.03,NHB,Completed,COLD / CA STORAGECOLD STORAGE02803.00MT
11,12,10BI20010000191,Bihar,2001-02,Patna,Sudhanshu Cold Storage (P) Ltd.,Patna (Bihar),0.0,33.76,NHB,Completed,COLD / CA STORAGECOLD STORAGE03376.00MT
12,13,10BI20010000192,Bihar,2001-02,Patna,Usha Cold Storage (P) Ltd.,Patna (Bihar),0.0,16.28,NHB,Completed,COLD / CA STORAGECOLD STORAGE01628.00MT
13,14,10BI20010000193,Bihar,2001-02,Patna,Vaishali Sheet Bhandar (P) Ltd.,"Patna, (Bihar)",0.0,11.73,NHB,Completed,COLD / CA STORAGECOLD STORAGE01173.00MT
14,15,PAT-18,Bihar,2001-02,Vaishali,M/s Lichchwi Foods India,"M/s Lichwi Foods India, Industrial estate, Vaishali",0.0,20.31,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02031.00MT
15,16,PAT-11,Bihar,2001-02,Patna,M/s Shankar Cooperative Cold Storage Samiti,"M/s Shankar Cooperative Cold Storage Samiti, Lakhnibigha, Khagaul, Danapur, Patna",0.0,28.81,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02900.00MT
16,17,10BI20020000197,Bihar,2002-03,Patna,Aarkee Cold Storage & Ice Palnt,Patna (Bihar),0.0,12.32,NHB,Completed,COLD / CA STORAGECOLD STORAGE01232.00MT
17,18,10BI20020000195,Bihar,2002-03,Samastipur,Chandan Cold Storage,Kashipur (Bihar),0.0,22.68,NHB,Completed,COLD / CA STORAGECOLD STORAGE02268.00MT
18,19,10BI20020000199,Bihar,2002-03,Samastipur,Mohan Cold Storage,Kashipur (Bihar),0.0,43.09,NHB,Completed,COLD / CA STORAGECOLD STORAGE04309.00MT
19,20,10BI20020000201,Bihar,2002-03,Begusarai,Mrigendra Cold Storage,"Rajwara, Barauni, Bihar",0.0,37.5,NHB,Completed,COLD / CA STORAGECOLD STORAGE03750.00MT
20,21,10BI20020000200,Bihar,2002-03,Nalanda,Nalanda Samrat Cold Storage (P) Ltd. Bihar Sharif,"Nalanda, (Bihar)",0.0,12.83,NHB,Completed,COLD / CA STORAGECOLD STORAGE01283.00MT
21,22,10BI20020000198,Bihar,2002-03,Patna,Usha Cold Storage (P) Ltd.,Patna (Bihar),0.0,22.92,NHB,Completed,COLD / CA STORAGECOLD STORAGE02292.00MT
