,0,1,2,3,4,5,6,7,8,9,10,11
0,1,22CG20010000237,Chhattisgarh,2001-02,Raipur,Shiv Shakti Cold Storage,Raipur (CG),0.0,22.08,NHB,Completed,COLD / CA STORAGECOLD STORAGE02208.00MT
1,2,22CG20010000238,Chhattisgarh,2001-02,Raipur,Sibbal & Sibbal Cold Storage,Raipur (CG),0.0,10.74,NHB,Completed,COLD / CA STORAGECOLD STORAGE01074.00MT
2,3,22CG20020000240,Chhattisgarh,2002-03,Raipur,Shakti Cold Storage,Raipur (CG),0.0,20.31,NHB,Completed,COLD / CA STORAGECOLD STORAGE02031.00MT
3,4,22CG20020000239,Chhattisgarh,2002-03,Raipur,Shree Balajee Cold Storage,Raipur (CG),0.0,20.76,NHB,Completed,COLD / CA STORAGECOLD STORAGE02076.00MT
4,5,22CG20030000241,Chhattisgarh,2003-04,Raipur,Shree Balajee Cold Storage,Raipur (CG),0.0,18.66,NHB,Completed,COLD / CA STORAGECOLD STORAGE01866.00MT
5,6,22ACG0CS000003,Chhattisgarh,2011-12,Raigarh,Shyamji Cold Storage,"Village-Bhalunara, Taluka-Kharsia, Distt.- Raigarh, (Chhatisgarh)",353.22,111.54,NHB,Completed,COLD / CA STORAGECOLD STORAGE034892.00MT
6,7,22ACG0CS000001,Chhattisgarh,2012-13,Surguja,Durga Cold Storage,"Villlage-Sandbar (Raipur Road, Ambikapur), Distt.-Surguja, State-Chattisgarh",300.0,105.67,NHB,Completed,COLD / CA STORAGECOLD STORAGE034562.64MT
7,8,22ACG0CS000004,Chhattisgarh,2013-14,Raipur,Agarwal Cold Storage,Village-Jarvay (Hirapur) Taluka & Distt.-Raipur (Chhattisgarh),457.06,109.94,NHB,Completed,COLD / CA STORAGECOLD STORAGE036016.00MT
8,9,22ACG0000678,Chhattisgarh,2013-14,Raipur,Kranti Kumar Chandrakar,"Village- Paragaon, Taluka- Arang, Distt.- Raipur (Chhattisgarh)",56.0,19.36,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA45.60TONNES
9,10,22ACG0CS000006,Chhattisgarh,2013-14,Rajnandgaon,Varu and Sons (Partnership Firm),"Village- Ghordha, Taluka- Dongargaon, Dist.- Rajnandgaon (Chhattisgarh)",398.53,112.7,NHB,Completed,COLD / CA STORAGECOLD STORAGE034943.00MT
10,11,22ACG0CS000005,Chhattisgarh,2013-14,Raipur,G.N. Cold Storage Private Limited,"Village -Gondwara, Taluka-Raipur, Distt- Raipur (Chhattisgarh)",401.15,111.6,NHB,Completed,COLD / CA STORAGECOLD STORAGE036130.37MT
11,12,22ACG0CS000007,Chhattisgarh,2014-15,Raipur,Siddhi Vinayak Cold Storage,"Village- Girod, Taluka- Raipur, Distt.- Raipur (Chhattishgarh)",449.85,105.4,NHB,Completed,COLD / CA STORAGECOLD STORAGE024841.78MT
12,13,22ACG0CS000009,Chhattisgarh,2014-15,Bemetara,"Anika Food And Beverages, Prop-Alok Singh","Village-Kandarka, Taluka-Berla, Dist-Bemetara (Chhatishgarh)",582.98,133.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE036660.00MT
13,14,22ACG0CS000010,Chhattisgarh,2014-15,Raipur,Shree Radhey Infralogistics India Pvt. Ltd.,"Village-Tekari, Taluka-Dharsiva, Dist-Raipur (Chhattisgarh)",475.67,133.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE046240.00MT
14,15,22ACG0000697,Chhattisgarh,2015-16,Raipur,SHRI RAJESH CHAWDA,"Village-Chandanidih, Nandanvan Road, Post-Tatibandh, Tehsil-Raipur, Distt-Raipur (C.G.)",33.02,5.64,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT 1.00TONNES
15,16,22ACG0CS000008,Chhattisgarh,2015-16,Rajnandgaon,SHRI TULSI COLD CARE,"VILLAGE- SANKARA, TALUKA- RAJNANDGAON, DISTT.- RAJNANDGAON (CHHATTISGARH)",426.5,138.32,NHB,Completed,COLD / CA STORAGECOLD STORAGE045200.00MT
16,17,22ACG0000961,Chhattisgarh,2017-18,Kabirdham,SABJI BAZAR (Prop: Smt. Sarla Chandravanshi),"Lawer Ground Floor, Siddhi Vinayak Plaza, Raipur Road, Kawardha, Distt-Kabirdham (C.G.)",30.0,7.65,NHB,Completed,POST HARVEST INFRASTRUCTUREPRE-COOLINGNA6.00TONNES
