,Unnamed: 0,Sr. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details
0,0,1,28AP2000000002,Andhra Pradesh,1999-00,Guntur,M/s Sravanthi Cold Storage Pvt. Ltd,Ankireddy Palem,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE09350.00MT
1,1,2,28AP2000000001,Andhra Pradesh,1999-00,Guntur,The Andhra Bank Farmers Service Cooperative Society,Ankireddy Palem,0.0,31.93,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04800.00MT
2,2,3,28AP2000000004,Andhra Pradesh,2000-01,Guntur,M/s Himabindu Cold Storage Pvt. Ltd.,Ankireddy Palem,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08480.00MT
3,3,4,28AP2000000003,Andhra Pradesh,2000-01,Guntur,M/s Ramanjaneya Cold Storage Pvt. Ltd.,Ankireddy Palem,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08650.00MT
4,4,5,28AP2000000005,Andhra Pradesh,2000-01,Srikakulam,M/s Vedamatha Cold Storage Pvt. Ltd,Munasabpeta,0.0,34.2,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03420.00MT
5,5,6,28AP2000000006,Andhra Pradesh,2000-01,Vizianagaram,M/s Bangaramma Cold Storage Pvt. Ltd,Gotlam Village,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07800.00MT
6,6,7,28AP2001000007,Andhra Pradesh,2000-01,Visakhapatnam,M/s Bapajg Agro Products Cold Storage,Tallavalasa Village,0.0,33.98,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03600.00MT
7,7,8,28AP2001000009,Andhra Pradesh,2000-01,Guntur,M/s Sri Sai Surya Cold Storage Pvt. Ltd.,Ankireddy Palem,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07700.00MT
8,8,9,28AP2001000008,Andhra Pradesh,2000-01,Guntur,M/s Om Siva Gayathri Deep Cold Storage Pvt. Ltd.,Ankireddy Palem,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07200.00MT
9,9,10,28AP20010000010,Andhra Pradesh,2000-01,Guntur,M/s Subham Maheswari Cold Storage Pvt. Ltd.,Duggirala,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07500.00MT
10,10,11,28AP20010000011,Andhra Pradesh,2000-01,Kurnool,M/s Nandi Cold Storage Pvt. Ltd.,"Ayyaluru Village, Nandyal",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
11,11,12,28AP20010000012,Andhra Pradesh,2000-01,Anantapur,M/s Premier Cold Storage Pvt. Ltd.,Hindupur,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05500.00MT
12,12,13,28AP20010000013,Andhra Pradesh,2000-01,Anantapur,M/s Murugan Cold Storage Pvt. Ltd.,"Jangalapalli Village, Punganur",0.0,32.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03200.00MT
13,13,14,28AP20010000228,Andhra Pradesh,2001-02,Vizianagaram,Sai Cold Storage (P) Ltd.,Vizianagram (AP),0.0,23.65,NHB,Completed,COLD / CA STORAGECOLD STORAGE02365.00MT
14,14,15,28AP20010000014,Andhra Pradesh,2001-02,East Godavari,M/s Saibhya Cold Storage Pvt. Ltd,"Dharmavaram Village, Prathipadu Mandal",0.0,25.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02500.00MT
15,15,16,28AP20010000015,Andhra Pradesh,2001-02,Vizianagaram,M/s Harshartna Industries Pvt. Ltd.,"Mutcharlavalasa Village, Ramabhadrapuram Mandal",0.0,31.5,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03150.00MT
16,16,17,28AP20010000016,Andhra Pradesh,2001-02,Anantapur,M/s Kaveri Cold Storage Pvt. Ltd.,Hindupur,0.0,42.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04200.00MT
17,17,18,28AP20010000017,Andhra Pradesh,2001-02,Anantapur,M/s Himashikar Cold Storage Pvt. Ltd.,Hindupur,0.0,39.3,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03930.00MT
18,18,19,28AP20010000018,Andhra Pradesh,2001-02,Kurnool,M/s Rayalaseema cold storage Pvt Ltd,"Dinnevaripadu, Kurnool",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05200.00MT
19,19,20,28AP20020000019,Andhra Pradesh,2001-02,Krishna,M/s Sri Venkatanarayan Cold Storage Pvt. Ltd.,"Gollapudi, Vijayawada Rural Mandal",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05750.00MT
20,20,21,28AP20020000020,Andhra Pradesh,2001-02,Krishna,M/s Sri Saisagar Cold Storage,"Nandigama Town, Nandigama Mandal",0.0,31.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03100.00MT
21,21,22,28AP2002000045,Andhra Pradesh,2002-03,Hyderabad,Jain Traders,Secundrabad (UP),0.0,3.75,NHB,Completed,COLD / CA STORAGECOLD STORAGE0375.00MT
22,22,23,28AP20020000230,Andhra Pradesh,2002-03,Warangal,Kakatiya Cold Storage Pvt. Ltd.,Hanamkonda (AP),0.0,33.16,NHB,Completed,COLD / CA STORAGECOLD STORAGE03316.00MT
23,23,24,28AP20020000229,Andhra Pradesh,2002-03,Prakasam,Munaga Chennaiah Cold Storage,Ongole (AP),0.0,29.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE02900.00MT
24,24,25,28AP20030000021,Andhra Pradesh,2003-04,Visakhapatnam,M/s Vizag Cold Storage Pvt. Ltd.,Visakhapatnam,0.0,8.28,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01060.00MT
25,25,26,28AP20050000023,Andhra Pradesh,2004-05,Krishna,M/s Sri Sai Sagar Cold Storage Pvt. Ltd.,"Nandigama, Vijayawada",0.0,16.41,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01952.00MT
26,26,27,28AP20050000022,Andhra Pradesh,2004-05,Nellore,M/s Saibaba Cold Storage Pvt. Ltd.,Nellore,0.0,9.06,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01059.00MT
27,27,28,28AP20050000024,Andhra Pradesh,2004-05,Prakasam,M/s Munnuga Chennaiah Cold Storage Pvt. Ltd.,"Ongole, Prakasam",0.0,6.87,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03994.00MT
28,28,29,28AP20050000025,Andhra Pradesh,2004-05,Guntur,M/s Manjunath Cold Storage Pvt. Ltd.,"Lalpuram, NH - 5, Guntur",0.0,32.72,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE010487.00MT
29,29,30,28AP20050000035,Andhra Pradesh,2004-05,Guntur,M/s K A G Reddy Cold storage Pvt. Ltd.,"Ankireddypalem, Guntur",0.0,31.67,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE010060.00MT
30,30,31,28AP20050000027,Andhra Pradesh,2005-06,Guntur,M/s Sri Sai Tulasi Cold Storage Pvt. Ltd.,"Ankireddypalem, Guntur",0.0,35.17,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08700.00MT
