,0,1,2,3,4,5,6,7,8,9,10,11
0,1,24GJ20000000121,Gujarat,2000-01,Ahmadabad,Armec Ice & Cold Storage Pvt. Ltd.,Ahmedabad (Gujarat),0.0,19.77,NHB,Completed,COLD / CA STORAGECOLD STORAGE01977.00MT
1,2,24GJ20000000120,Gujarat,2000-01,Rajkot,Deepee Cold Storage,Rajkot (Gujarat),0.0,20.3,NHB,Completed,COLD / CA STORAGECOLD STORAGE02030.00MT
2,3,24GJ20000000119,Gujarat,2000-01,Rajkot,Gandhi Spices Pvt. Ltd.,Rajkot (Gujarat),0.0,16.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE01600.00MT
3,4,AHM-CS-3,Gujarat,2000-01,Anand,M/s. Mirali Agro Products,P O Chikhodra,0.0,5.64,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE0564.00MT
4,5,AHM-CS-2,Gujarat,2000-01,Anand,M/s. Amar CS Exp,"Vill. Lambhvel,Tal. Anand",0.0,19.36,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01936.00MT
5,6,AHM-CS-4,Gujarat,2000-01,Mahesana,M/s. Sarvodaya C S,"Ranasan, Tal. Vijapur",0.0,23.3,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02330.57MT
6,7,AHM-CS-7,Gujarat,2000-01,Banas Kantha,M/s. Nataraj CS,"Tal. Deesa,",0.0,24.55,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02455.00MT
7,8,AHM-CS-6,Gujarat,2000-01,Banas Kantha,Shri Ganesh CS,Deesa - Palanpur Highway,0.0,28.11,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02811.00MT
8,9,AHM-CS-5,Gujarat,2000-01,Kutch,M/s. Jay Ambe CS & Food Pvt. Ltd.,"Meghpar, Tal. Anjar",0.0,26.39,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02639.00MT
9,10,AHM-CS-8,Gujarat,2000-01,Sabar Kantha,Sabarmati CS Pvt. Ltd.,Village Tenpur,0.0,12.34,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02467.00MT
10,11,AHM-CS-12,Gujarat,2000-01,Gandhinagar,Shri Krishna CS,Tal. Dehgam,0.0,21.8,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02180.00MT
11,12,AHM-CS-9,Gujarat,2000-01,Banas Kantha,Somnath C S Exp.,"Ranpur Road, Tal. Deesa",0.0,18.98,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01897.69MT
12,13,AHM-CS-11,Gujarat,2000-01,Gandhinagar,"M/s, Anmol CS","Ghamig, Tal. Dehgam,",0.0,37.67,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03767.00MT
13,14,AHM-CS-14,Gujarat,2000-01,Junagadh,Shri Kodinar Tq.Fruit & Veg. Product Co. Soc. Ltd,Tal. Kodinar,0.0,28.07,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02806.53MT
14,15,AHM-CS-1,Gujarat,2000-01,Rajkot,"M/s. Anand Potato,Fruits & Vegetables,Spices Producer Co-op. Socy.","Vill. Ghuntu, Tal. Morbi",0.0,24.81,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02480.60MT
15,16,AHM-CS-15,Gujarat,2000-01,Rajkot,Vedamata CS Pvt. Ltd.,"GIDC Industrial Estate, Metoda, Tal. Lodhika",0.0,11.05,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01105.15MT
16,17,AHM-CS-17,Gujarat,2000-01,Banas Kantha,M/s. Mahalaxmi C.S.,"Tal. Deesa,",0.0,36.12,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03612.10MT
17,18,AHM-CS-19,Gujarat,2000-01,Patan,M/s. Padiyar Cold Storage Pvt. Ltd. ( expansion ),"Village Khali, Sidhpur",0.0,22.11,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02210.54MT
18,19,AHM-CS-18,Gujarat,2000-01,Mahesana,M/s. Jay Shree Mahakali C.S.,"Vijapur, Himmatnagar Vijapur Highway",0.0,25.6,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02560.19MT
19,20,AHM-CS-20,Gujarat,2000-01,Ahmadabad,M/s. Solanun Agro Tech Cold Storage Pvt. Ltd.,"Vill. Jaliyamath, Tal. Dehgam",0.0,22.33,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02232.70MT
20,21,AHM-CS-10,Gujarat,2000-01,Mahesana,Vimal Dairy Ltd.,"GIDC, Mehsana",0.0,38.29,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03829.17MT
21,22,AHM-CS-25,Gujarat,2000-01,Gandhinagar,M/s. Shiv krupa CS,Tal. Adalaj,0.0,17.21,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01721.30MT
22,23,AHM-CS-13,Gujarat,2000-01,Navsari,Purna Frozen Foods Pvt. Ltd,Amadpore,0.0,29.7,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03229.48MT
23,24,AHM-CS-26,Gujarat,2000-01,Banas Kantha,M/s.Shiv CS (Expansion programme ),"Tal. Deesa,",0.0,16.46,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01645.98MT
24,25,AHM-CS-30,Gujarat,2001-02,Ahmadabad,M/s.Hapa CS Pvt. Ltd.,"GIDC, Naroda",0.0,15.05,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01505.10MT
25,26,AHM-CS-27,Gujarat,2001-02,Rajkot,M/s.Hasnain CS Pvt. Ltd.,"GIDC, Plot no.1032, Lodhika Industrial Estate, Metoda",0.0,10.78,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01078.00MT
26,27,24GJ20010000143,Gujarat,2001-02,Mahesana,Umiya Cold Storage,Mehsana (MH ),0.0,27.32,NHB,Completed,COLD / CA STORAGECOLD STORAGE02732.00MT
27,28,24GJ20010000122,Gujarat,2001-02,Ahmadabad,Vinod Cold Storage,Ahmedabad (Gujrat),0.0,11.67,NHB,Completed,COLD / CA STORAGECOLD STORAGE01167.00MT
28,29,AHM-CS-34,Gujarat,2001-02,Gandhinagar,M/s.Potato Growers Coop. Soc,Pethapur,0.0,25.5,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02550.42MT
29,30,AHM-CS-38,Gujarat,2001-02,Mahesana,M/s.Kedarnath CS Pvt. Ltd.,"Boru, Vijapur",0.0,34.15,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03415.00MT
