,0,1,2,3,4,5,6,7,8,9,10,11
0,1,06HA20000000104,Haryana,2000-01,Sonipat,Bindlish Cold Storage Pvt. Ltd.,Haryana,0.0,18.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE01800.00MT
1,2,06HA20000000103,Haryana,2000-01,Sonipat,Sabharwal Foods Industries Pvt. Ltd,Sonepat (Haryana),0.0,17.31,NHB,Completed,COLD / CA STORAGECOLD STORAGE01731.00MT
2,3,06HA20010000105,Haryana,2001-02,Sonipat,G.J. Cold Storage (P) Ltd.,Kundli (HR),0.0,41.84,NHB,Completed,COLD / CA STORAGECOLD STORAGE04184.00MT
3,4,06HA20010000106,Haryana,2001-02,Kurukshetra,"Jagdamba Cold Store, Indri Road",Ladwa (HR),0.0,13.28,NHB,Completed,COLD / CA STORAGECOLD STORAGE01328.00MT
4,5,06HA20010000107,Haryana,2001-02,Sonipat,R.P. Cold Storage (P) Ltd.,Kundli (HR),0.0,22.09,NHB,Completed,COLD / CA STORAGECOLD STORAGE02209.00MT
5,6,06HA20010000109,Haryana,2001-02,Sonipat,Shiv Shakti Cold Storage (P) Ltd.,Kundli (HR),0.0,31.22,NHB,Completed,COLD / CA STORAGECOLD STORAGE03121.00MT
6,7,06HA20010000108,Haryana,2001-02,Sonipat,Vijay Cold Storage (P) Ltd.,Kundli (HR),0.0,32.67,NHB,Completed,COLD / CA STORAGECOLD STORAGE03267.00MT
7,8,06HA20020000111,Haryana,2002-03,Sonipat,ARSN Agro Pvt. Ltd.,Sonepat (HR),0.0,42.81,NHB,Completed,COLD / CA STORAGECOLD STORAGE04281.00MT
8,9,06HA20030000112,Haryana,2003-04,Sonipat,Avalanche Cold Storage Pvt. Ltd.,Sonepat (HR),0.0,50.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
9,10,06HA20040000113,Haryana,2004-05,Sonipat,"Neelam cold Storage, Kundli, Sonipat, Haryana",Sonipat(Haryana),0.0,6.41,NHB,Completed,COLD / CA STORAGECOLD STORAGE0641.00MT
10,11,06HA20040000114,Haryana,2004-05,Kurukshetra,"Shankar Lal & Sons, Dis-Kurukshetra, Haryana",Kurukshetra(Haryana),0.0,8.34,NHB,Completed,COLD / CA STORAGECOLD STORAGE0834.00MT
11,12,06HA20060000115,Haryana,2006-07,Sonipat,J.M. Cool House P. Ltd.,Sonepat(Haryana),0.0,15.5,NHB,Completed,COLD / CA STORAGECOLD STORAGE01550.00MT
12,13,06HA20070000116,Haryana,2007-08,Sonipat,J.M. Cool House Pvt.Ltd.,Sonipat,0.0,11.95,NHB,Completed,COLD / CA STORAGECOLD STORAGE01195.00MT
13,14,06HA20090000117,Haryana,2009-10,Karnal,"HAFED Cold Storage, Karnal","Karnal, Haryana",0.0,4.99,NHB,Completed,COLD / CA STORAGECOLD STORAGE0499.00MT
14,15,06HA20090000118,Haryana,2009-10,Sonipat,"M.C.Luthra Ice & Cold Storage,","Kundli, Sonipat, Haryna",0.0,5.08,NHB,Completed,COLD / CA STORAGECOLD STORAGE0508.00MT
15,16,06AHR0CS000006,Haryana,2012-13,Sonipat,Seven Star Cold Storage Pvt. Ltd.,"Village-Nathupur, Taluka-Kundli, Dist-Sonipat (Haryana)",632.5,132.78,NHB,Completed,COLD / CA STORAGECOLD STORAGE170.00MT
16,17,06AHR0CS000015,Haryana,2012-13,Karnal,Arkaaye Cold Storage,"Village-Alipur Khalsa, Taluka-Gharaunda, Dist-Karnal (Haryana)",840.0,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE85218.00MT
17,18,06AHR0CS000009,Haryana,2012-13,Sonipat,KMC Cool Chain India Pvt. Ltd.,"Village-Nathupur , Taluka & Dist-Sonipat (Haryana)",3206.2,956.24,NHB,Completed,COLD / CA STORAGECA STORAGE10996.45MT  COLD / CA STORAGECOLD STORAGE163964.81MT
18,19,06AHR0CS000005,Haryana,2013-14,Sonipat,ASSAM TRADING COMPANY,"SABJI MANDI, SONIPAT DIST-SONIPAT (HARYANA)",111.35,26.88,NHB,Completed,COLD / CA STORAGECOLD STORAGE11119.49MT
19,20,06AHR0CS000010,Haryana,2013-14,Sonipat,Ishwar Cold Store,"Village-Nathupur, Taluka & Dist-Sonipat (Haryana)",450.74,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE125300.00MT
20,21,06AHR0CS000001,Haryana,2013-14,Sonipat,Saroj Overseas Pvt. Ltd.,"Village-Akbarpur Barota, Taluka-Sonipat, Dist- (Haryana)",532.0,114.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE95145.00MT
21,22,06AHR0CS000016,Haryana,2013-14,Sonipat,Lawrence Agro Storage Pvt. Ltd.,"Village & Post-Bazidpur Saboli, Taluka-Kundli, Dist-Sonipat (Haryana)",561.67,105.14,NHB,Completed,COLD / CA STORAGECOLD STORAGE104381.00MT
22,23,06AHR0CS000019,Haryana,2013-14,Sonipat,Shree Peetambra Cold Storage Pvt. Ltd.,"Village-Wazidpur, Taluka-Kundli, Dist-Sonipat (Haryana)",662.42,88.97,NHB,Completed,COLD / CA STORAGECOLD STORAGE103707.00MT
23,24,06AHR0CS000028,Haryana,2013-14,Sonipat,Amrit Humifresh Preservation Pvt. Ltd,"Village- Kundli, Taluka-Kundli, Distt.- Sonipat  (Haryana)",1041.15,203.38,NHB,Completed,COLD / CA STORAGECOLD STORAGE53330.00MT
24,25,06AHR0CS000003,Haryana,2013-14,Sonipat,Harshna Ice & Cold Storage Pvt. Ltd.,"Village-Nathupur, Tal-Kundli, Dist-Sonipat (Haryana)",909.14,557.66,NHB,Completed,COLD / CA STORAGECA STORAGE223200.00MT
25,26,06AHR0CS000029,Haryana,2013-14,Sonipat,Kbb Nuts Private Limited,"Village- Bazidpur, Taluka- Saboli, Kundli, Dist.- Sonepat (Haryana)",371.03,57.33,NHB,Completed,COLD / CA STORAGECOLD STORAGE22419.00MT
26,27,06AHR0CS000024,Haryana,2013-14,Sonipat,Polymer Additives,"Village-Kundli, Taluka-Sonipat, Dist-Sonipat (Haryana)",497.0,102.07,NHB,Completed,COLD / CA STORAGECOLD STORAGE74252.82MT
27,28,06AHR0001142,Haryana,2013-14,Sonipat,SABHARWAL FOOD INDUSTRIES PRIVATE LIMITED,"Village-Nathupur, Taluka & Dist-Sonipat (Haryana)",235.42,50.0,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER1168.00TONNES
28,29,06AHR0001160,Haryana,2013-14,Hisar,Lakshay Waxing Plant (Prop : Ramesh Chander),"Village- Malapur, Taluka- Adampur, Dist.- Hisar (Haryana)",93.0,25.36,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA5.00TONNES
29,30,06AHR0001165,Haryana,2013-14,Sonipat,Delhi Agrocool Private Limited.,"Village- Kundli, Taluka- Kundli, Distt.- Sonipat (Haryana)",152.0,48.0,NHB,Under Implementation,POST HARVEST INFRASTRUCTURERIPENING CHAMBER1120.00TONNES
30,31,06AHR0CS000034,Haryana,2013-14,Sonipat,Delhi Agrocool Private Limited.,"Village- Kundli, Taluka- Kundli, Distt.- Sonipat (Haryana)",627.3,115.94,NHB,Completed,COLD / CA STORAGECOLD STORAGE64141.00MT
31,32,06AHR0CS000037,Haryana,2013-14,Palwal,Kailash Agro Pvt. Ltd.,"Village-Devli, Taluka-Palwal, Dist-Palwal (Haryana)",938.31,256.0,NHB,Completed,COLD / CA STORAGECA STORAGE112000.00MT
32,33,06AHR0CS000013,Haryana,2013-14,Sonipat,Mrigesh Agro & Cold Storage Pvt. Ltd.,"Village-Kundli, Taluka-Sonipat, Dist-Sonipat (Haryana)",431.08,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE105000.00MT
33,34,06AHR0CS000020,Haryana,2013-14,Sonipat,Prabhu Kripa Agro & Cold Storage Pvt. Ltd.,"Village-Wazidpur Saboli, Taluka-Sonipat, Dist-Sonipat (Haryana)",674.92,117.68,NHB,Completed,COLD / CA STORAGECOLD STORAGE45000.00MT
34,35,06AHR0CS000033,Haryana,2013-14,Sonipat,Shalla Ram Ice & Cold Storage,"Village- Nathupur, Taluka- Sonipat, Distt.- Sonipat (Haryana)",1131.0,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE045100.00MT
35,36,06AHR0001168,Haryana,2013-14,Faridabad,Shiva Biotech,"Near Johar Motors, GT Mathura Road, Sikri, Village-Ballabgarh, Taluka-Ballabgarh, Dist-Faridabad (Haryana)",75.3,240.0,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA60.00TONNES
36,37,06AHR0CS000031,Haryana,2013-14,Sonipat,Viraj Cold Storage Private Limited,"Village- Nathupur, Taluka- Kundli, Dist.- Sonipat (Haryana)",735.32,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE75750.16MT
37,38,06AHR0CS000018,Haryana,2013-14,Sonipat,O S Cool Home,"Village-Kundli, Taluka- & Dist-Sonipat (Haryana)",596.22,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE65130.00MT
38,39,06AHR0CS000026,Haryana,2014-15,Sonipat,Hare Krishna Agrotech Cold Chain,"Village-Nathupur, Taluka-Sonipat, Dist-Sonipat (Haryana)",617.63,140.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE126311.00MT
