,0,1,2,3,4,5,6,7,8,9,10,11
0,1,01JK20050000243,Jammu & Kashmir,2005-06,Jammu,Shri Ranjan Naspal & Nine others,J&K,0.0,1.14,NHB,Completed,COLD / CA STORAGECOLD STORAGE0114.00MT
1,2,01AJK0000142,Jammu & Kashmir,2005-06,Jammu,Rakesh Anand M/S EMCEES Commercial Co.,"M/s Emcees Commercial Comp. Plot No.65/67, Industrial Estate, Phase-3, Gangyal, Jammu",5.37,1.05,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
2,3,01AJK0000001,Jammu & Kashmir,2005-06,Jammu,Amar Singh & Sons,"Gangyal, Jammu & Kashmir",6.93,1.35,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
3,4,01AJK0000117,Jammu & Kashmir,2005-06,Kupwara,Hazi ghulam Mohad Kaboo S/o Ab. Ahad Kabool,"Gonipora, handwara, Kupwara-K(J&K)",1.92,0.38,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
4,5,01AJK0000062,Jammu & Kashmir,2005-06,Baramula,Abdul gani KhandayS/oGh. Mohd Khanday,"Lalad, Sopore, Barahmulla-K (J&K)",1.87,0.37,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
5,6,01AJK0000080,Jammu & Kashmir,2005-06,Anantnag,Ab. Rehman NengrooS/o Ab. salam Nengroo,"Sirhama, BhijBehara, Anantnag-K (J&K)",2.06,0.41,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
6,7,01AJK0000147,Jammu & Kashmir,2005-06,Anantnag,Gh. Mohd Lone S/o Moh. Sultan Lone,"Kanelwan, Bjibehara, anantnag-K (J&K)",2.06,0.2,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
7,8,01AJK0000048,Jammu & Kashmir,2005-06,Anantnag,Gh. Rasool Mir S/oAb. Ahad Mir,"Sirhama, BjiBehara Anantnag-K (J&K)",2.06,0.2,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
8,9,01AJK0000046,Jammu & Kashmir,2005-06,Anantnag,"Mrs. Hanifa Bannu, W/o. Sh. Doost Mohd. Khan","Check Ishirdas, Anantnag",2.06,0.41,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
9,10,01AJK0000076,Jammu & Kashmir,2005-06,Anantnag,"Mrs. Shash Mali, D/o. Ab.Sattar",Yar Khushipora,2.06,0.2,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
10,11,01AJK0000078,Jammu & Kashmir,2005-06,Anantnag,"Mrs. zaina Begam, W/o. Ab. Satar Bhat",R/o. Yar Khushipora,2.06,0.2,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
11,12,01AJK0000152,Jammu & Kashmir,2005-06,Pulwama,Mohd. Akbar Mir S/o Mohd. Abdullah Mir,"Achigoza Keller, Pulwama-K (J&K)",4.38,0.88,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT01100.00BOX
12,13,01AJK0000173,Jammu & Kashmir,2005-06,Jammu,M/S HansRaj Son''''''''''''''''''''''''''''''''s,"M/S Hansraj & Sons, Below Gumat, Jammu",19.66,6.14,NHB,Completed,POST HARVEST INFRASTRUCTUREPLASTIC CRATESNA2.00TONNES  POST HARVEST INFRASTRUCTURETRANSPORTNA2.00TONNES
13,14,01AJK0000172,Jammu & Kashmir,2005-06,Jammu,M/S N.S. Walnut Industries,"M/S N.S. Walnut Industries Poonch House Kabir Colony Talab-Tillo, Jammu",19.9,3.92,NHB,Completed,POST HARVEST INFRASTRUCTUREPLASTIC CRATESNA1.00TONNES  POST HARVEST INFRASTRUCTURETRANSPORTNA2.00TONNES
14,15,01AJK0000185,Jammu & Kashmir,2006-07,Srinagar,Mr. Farooq Ahmad Bhat S/o Gh. Rasool Bhat,"Watlar, Ganderbal, Srinagar- (J&K)",4.18,0.84,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT012.00TONNES
