,0,1,2,3,4,5,6,7,8,9,10,11
0,1,20JH200100000267,Jharkhand,2001-02,Hazaribagh,Hazaribagh Cold Storage,"Shri. Subhas Kumar, Smt. Rani Kumari; At- Kolaghatti, P.O- Reformatory School, Hazaribagh, Jharkhand",0.0,22.66,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03654.00MT
1,2,20JH200100000268,Jharkhand,2001-02,Ramgarh,Patni Sheetgriha,"Shri. Ramesh Kumar Jain, Shri. Prashant Kumar Jain; Marar village, Ramgarh",0.0,45.48,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
2,3,NCDC-JH-2002-26,Jharkhand,2002-03,Ranchi,"Chotanagpur Adivasi Cooperative Vegetable Marketing Federation Ltd. (VEGFED), Purulia Road, Distt. Ranchi.","Chotanagpur Adivasi Cooperative Vegetable Marketing Federation Ltd. (VEGFED), Purulia Road, Distt. Ranchi.",200.0,50.0,Through NCDC,Under Implementation,COLD / CA STORAGECOLD STORAGE15000.00MT
3,4,20JH200200000269,Jharkhand,2002-03,Dhanbad,Dhanbad Cold Storage,"Shri. Rajendra Kumar Agarwal, Shri. Jai Prakash Kejriwal, Shri. Ved Prakash Kejriwal, Shri. Ajay Kumar Agarwal; Lalbazar, P.O-Jharia-828111, Dhanbad; (360241,464133,200468)",0.0,31.87,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03150.00MT
4,5,20JH200200000271,Jharkhand,2002-03,Ramgarh,Gola Cold Storage,"Shri. G.C.Agarwal, Shri. Manish Anand, Smt. Renu Agarwal, Smt. Neelam Anand; Rajappa Road, Gola;(06553-74223)",0.0,31.82,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03838.00MT
5,6,20JH200200000270,Jharkhand,2002-03,Ranchi,Vardhan Cold Storage,"Shri. Krishna Kumar Garodia, Shri. Harshavardhan Garodia; Nagrmal Modi Seva Sadan Path, Barala Street, Upper Bazar, Ranchi-834001",0.0,30.4,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04000.00MT
6,7,20JH200300000274,Jharkhand,2003-04,Ranchi,Gangajali Cold Storage,"Shri. Gyan Prakash Budihia; Vill-Gari, Opposite Deepatoli Camp, RMCH, Ranchi-834009;(0651-3103068,2541956,2230949)",0.0,3.56,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02000.00MT
7,8,20JH20030000242,Jharkhand,2003-04,Hazaribagh,Hazaribag Co-operative Cold Storage,Hazaribag,0.0,3.25,NHB,Completed,COLD / CA STORAGECOLD STORAGE0325.00MT
8,9,20JH200300000272,Jharkhand,2003-04,Hazaribagh,Padmathi Cold Storage,"Shri. Ramesh Kumar Jain, Shri. Praveen Kumar Jain; Kamta, P.O-Gola, Hazaribagh;(222020,222595)",0.0,49.05,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06000.00MT
9,10,20JH200300000273,Jharkhand,2003-04,Hazaribagh,R.K. Cold Storage,"Shri. Shanker Lal, Smt. Uma Gupta, Shri. B N Gupta, Smt. Usha Gupta; Vill & Post- Kuju, Hazaribagh-825316;(06553-281232,281520)",0.0,41.62,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
