,0,1,2,3,4,5,6,7,8,9,10,11
0,1,NCDC-MP-2001-14,Madhya Pradesh,2001-02,Dewas,Maa Tulja Bhavani Sahakari Sheetgreh Sanstha Ltd. Dewas,"Maa Tulja Bhavani Sahakari Sheetgreh Sanstha Ltd. Gram Jaam God, Tehsil & Distt. Dewas",225.0,50.0,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE16000.00MT
1,2,23MP20010000249,Madhya Pradesh,2001-02,Bhind,Bhagwati Cools (P) Ltd.,Bhind (MP),0.0,16.5,NHB,Completed,COLD / CA STORAGECOLD STORAGE01650.00MT
2,3,23MP20010000250,Madhya Pradesh,2001-02,Gwalior,Sudershan Fruit & Vegetable Storage,Gwalior,0.0,11.99,NHB,Completed,COLD / CA STORAGECOLD STORAGE01199.00MT
3,4,NCDC-MP-2002-13,Madhya Pradesh,2002-03,Khargaon,Maa Rewa Mrich Karya Vikraya Samity Ltd; Khargaon,Maa Rewa Mrich Karya Vikraya Samity Ltd; Distt. Khargaon,200.0,50.0,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE15000.00MT
4,5,23MP20020000251,Madhya Pradesh,2002-03,Bhind,Bhagwati Cools Pvt. Ltd.,Bhind (MP),0.0,20.17,NHB,Completed,COLD / CA STORAGECOLD STORAGE02017.00MT
5,6,23MP20020000253,Madhya Pradesh,2002-03,Ratlam,Neeraj Cold Storage,Ratlam (MP),0.0,0.97,NHB,Completed,COLD / CA STORAGECOLD STORAGE097.00MT
6,7,23MP20020000252,Madhya Pradesh,2002-03,Shajapur,Sagar ICE & Cold Storage,Shajaapur (MP),0.0,2.5,NHB,Completed,COLD / CA STORAGECOLD STORAGE0250.00MT
7,8,23MP20050000256,Madhya Pradesh,2005-06,Indore,"Nature Fresh Storage Pvt. Ltd.,",Indore(MP),0.0,9.5,NHB,Completed,COLD / CA STORAGECOLD STORAGE0950.00MT
8,9,23MP20050000255,Madhya Pradesh,2005-06,Gwalior,"Parikshit Cold Storage,","Allahabad Bank Building Power House Road, Lashkar, Gwalior(MP)",0.0,5.9,NHB,Completed,COLD / CA STORAGECOLD STORAGE0789.00MT
9,10,23MP20070000254,Madhya Pradesh,2007-08,Gwalior,Devi Kashi Cold Storage India Pvt. Ltd.,(MP),0.0,12.2,NHB,Completed,COLD / CA STORAGECOLD STORAGE01220.00MT
10,11,NCDC-MP-2009-37,Madhya Pradesh,2009-10,Indore,"Sahakari Sheetgrih Sanstha Maryadit, Rau","Sahakari Sheetgrih Sanstha Maryadit,Shramik Colony, Gram Rau, Distt. Indore",303.38,120.0,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE15000.00MT
11,12,23AMP0004125,Madhya Pradesh,2010-11,Mandsaur,Jai Bhole Cold Storage,"SurveyNo.45, Industrial Area, Village Mandsaur, Taluka Mandsaur, District Mandsaur (MP)",85.15,14.04,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA150.00TONNES
12,13,23AMP0004546,Madhya Pradesh,2010-11,Dewas,"R.G Super Fruits, Prop-Mohd. Rafique Shah","Village-Dewas, Taluka & Dist-Dewas (Madhya Pradesh)",70.75,9.65,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA48.26TONNES
13,14,23AMP0CS000003,Madhya Pradesh,2012-13,Indore,Gandhi fertilizers Private limited,"KH. No.36/1/7, Village Kapalya Khedi, Nemavar Road, Indore (M.P.)",330.52,116.34,NHB,Completed,COLD / CA STORAGECOLD STORAGE045343.99MT
14,15,23AMP0CS000007,Madhya Pradesh,2012-13,Chhindwara,Shanti Cold Storage & Ice Factory,"Village-Seoni Pranmoti, Taluka-Chhindwara, Dist-Chhindwara (Madhya Pradesh)",312.0,119.86,NHB,Completed,COLD / CA STORAGECOLD STORAGE044994.00MT
15,16,23AMP0CS000002,Madhya Pradesh,2013-14,Shajapur,Devikashi Cold Storage India Pvt. Ltd.,"Village-Satendi, Taluka-Shujalpur, Dist-Shajapur (Madhya Pradesh)",60.0,18.28,NHB,Completed,COLD / CA STORAGECOLD STORAGE011231.00MT
16,17,23AMP0005099,Madhya Pradesh,2014-15,Mandsaur,Nirmal Fruit Processing Unit (Prop : Komal Devi),"Village- Shyamgarh, Taluka- Mandsaur, Distt.- Mandsaur (Madhya Pradesh)",54.18,11.38,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER0528.45TONNES
17,18,23AMP0CS000016,Madhya Pradesh,2015-16,Shajapur,R.S Cold & Ware Houses,"Village-Majaniya, Taluka & Dist-Shajapur (Madhya Pradesh)",474.82,159.6,NHB,Completed,COLD / CA STORAGECOLD STORAGE046000.00MT
18,19,23AMP0005110,Madhya Pradesh,2015-16,Indore,Suryoday Agro(Prop : Narayan Patil),"Village- Lasudia Mori, Distt.- Indore (Madhya Pradesh)",70.0,17.58,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER0550.00TONNES
19,20,23AMP0CS000014,Madhya Pradesh,2015-16,Ujjain,Tirupati Cold Storage,"Village-Harsodan, Taluka-Ujjain, Dist-Ujjain (Madhya Pradesh)",609.53,159.06,NHB,Completed,COLD / CA STORAGECOLD STORAGE045978.00MT
20,21,23AMP0005297,Madhya Pradesh,2015-16,Tikamgarh,Ambey Industries(Prop: Hari Mohan Soni),"Village- Pratappura, Taluka- Pratappura, Distt.- Tikamgarh (Madhya Pradesh)",65.0,14.98,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA0.00NOT GIVEN
21,22,23AMP0CS000015,Madhya Pradesh,2015-16,Indore,Ginar Cold Storage & Warehousing Private Ltd.,"Village-Sihod, Taluka-Mhow, Dist-Indore (Madhya Pradesh)",855.75,161.05,NHB,Completed,COLD / CA STORAGECOLD STORAGE046054.80MT
22,23,23AMP0CS000013,Madhya Pradesh,2015-16,Indore,Shubham Freezers Private Ltd.,"Village- Ringnodia, Taluka- Sanwer, Distt.- Indore (Madhya Pradesh)",736.35,155.09,NHB,Completed,COLD / CA STORAGECOLD STORAGE045830.56MT
23,24,23AMP0005880,Madhya Pradesh,2016-17,Bhopal,NPK Agro Products,"Village- Kalkheda, Taluka- Huzur, Distt.- Bhopal (Madhya Pradesh)",153.9,26.6,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA75.00TONNES
24,25,23AMP0005183,Madhya Pradesh,2016-17,Burhanpur,P&P Fruits,"Village-Basad, Teh-Nepangar, Dist-Burhanpur (Madhya Pradesh)",42.0,11.67,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA35.79TONNES
25,26,23AMP0005468,Madhya Pradesh,2016-17,Burhanpur,SHREENATHJI INDUSTRIES,"Village-Hatnoor, Taluka-Burhanpur, Dist-Burhanpur (Madhya Pradesh)",67.0,11.38,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA36.81TONNES
