,0,1,2,3,4,5,6,7,8,9,10,11
0,1,27MH19990000097,Maharastra,1999-00,Nagpur,M/s Goyal Warehouse Cold Storage and Ice Plant,"Plot No. 88, EIAS Scheme, Ward No. 22, Chikhali, Kalamna Market, Nagpur",0.0,40.87,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04087.00MT
1,2,NCDC-MH-2000-02,Maharastra,2000-01,Nagpur,"Nagpur Zila Phalava Bhajipala Kharedi Vikri Sahkari Santha Ltd, June Sneh Nagar, Wardha Road, Zila Nagpur","Nagpur Zila Phalava Bhajipala Kharedi Vikri Sahkari Santha Ltd, June Sneh Nagar, Wardha Road, Zila Nagpur",293.47,30.0,Through NCDC,Under Implementation,COLD / CA STORAGECOLD STORAGE13000.00MT
2,3,27MH20000000140,Maharastra,2000-01,Mumbai,Dedhia Agro Chem & Ware Housing Pvt Ltd.,Navi Mumbai (MS),0.0,15.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE01500.00MT
3,4,27MH20000000096,Maharastra,2000-01,Pune,M/s Shivraj Cold Storage,"Gat No. 787,Khed Shivapur, Haveli taluka,",0.0,19.1,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01911.00MT
4,5,27MH200100000102,Maharastra,2001-02,Nagpur,M/s Hari Om Cold Storage,"453/454/455, EIAS scheme, Chikhali Layout, Nr. Kalamna Market,",0.0,49.8,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05435.00MT
5,6,27MH200100000103,Maharastra,2001-02,Nagpur,M/s Heliwal Krishi Sheet Griha Pvt. Ltd.,"Bhandara Road, Kapsi, Bujurg",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE09275.00MT
6,7,27MH200100000114,Maharastra,2001-02,Jalgaon,M/s K S Cold Storage,"Plot V 190, MIDC,Ajanta road,",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05100.00MT
7,8,27MH20010000098,Maharastra,2001-02,Aurangabad,M/s Marathwada Cold Storage,"Aurangabad Pune Road, Village Shivrai, Tal. Gangapur",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05170.00MT
8,9,27MH200100000100,Maharastra,2001-02,Gondiya,M/s Prabhu Cold Storage,"Khasra No 1213/1,Mouje Khamari,",0.0,30.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03640.00MT
9,10,27MH200100000101,Maharastra,2001-02,Gondiya,M/s R R Cold Storage,"Gat no. 620/2,Village Ambora, Saori Gram Panchayat,, Gondia",0.0,34.55,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04300.00MT
