,0,1,2,3,4,5,6,7,8,9,10,11
0,1,21OR200000000298,Odisha,1999-00,Mayurbhanj,M/S Balaji Agro coldstorage,"Karanjia, Mayurbhanj",0.0,35.91,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04000.00MT
1,2,21OR200000000297,Odisha,1999-00,Mayurbhanj,M/s Jagadamba cold storages,"Rairangpur, Maurbhanj",0.0,47.52,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
2,3,21OR20010000231,Odisha,2001-02,Bargarh,Sarvati Cold Home (P) Ltd.,Bargarh,0.0,45.25,NHB,Completed,COLD / CA STORAGECOLD STORAGE04525.00MT
3,4,21OR200200000300,Odisha,2001-02,Bargarh,M/S Utkal Vegetables storage (P) Ltd,"Ghuchapali, Padampur, Baragarh",0.0,35.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03500.00MT
4,5,21OR20020000232,Odisha,2002-03,Kendujhar,Maa Tarani Cold Storage Pvt. Ltd.,Keonjhar (Orissa),0.0,23.12,NHB,Completed,COLD / CA STORAGECOLD STORAGE02312.00MT
5,6,21OR20020000233,Odisha,2002-03,Balangir,Radhakeshav Cold Storage Pvt. Ltd.,Balangir (Orissa),0.0,45.68,NHB,Completed,COLD / CA STORAGECOLD STORAGE04568.00MT
6,7,21OR20020000235,Odisha,2002-03,Bhubneshwar,Ruchi Agro Cooling Pvt. Ltd.,Odisha,0.0,49.69,NHB,Completed,COLD / CA STORAGECOLD STORAGE04969.00MT
7,8,21OR20020000234,Odisha,2002-03,Cuttack,Swastika Ice Factory & Cold Storage Pvt. Ltd .,Cuttack (Orissa),0.0,18.97,NHB,Completed,COLD / CA STORAGECOLD STORAGE01897.00MT
8,9,21OR200200000301,Odisha,2002-03,Koraput,M/S Devaki Coldstorage,"Majumunda,Jeypore, Koraput",0.0,46.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04784.00MT
9,10,21OR20030000236,Odisha,2003-04,Cuttack,Swastika Ice Factory & Cold Storage Pvt. Ltd .,Odisha,0.0,24.43,NHB,Completed,COLD / CA STORAGECOLD STORAGE02443.00MT
10,11,21OR200400000304,Odisha,2003-04,Kendujhar,M/S Tarini Tea and Coldstorage (p) Ltd,"Shankarpur, Keonjhar",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
11,12,21OR200400000305,Odisha,2004-05,Ganjam,M/S Berhampur coldstorage Pvt. Ltd,"Phulta, Konsi, Berhampur, Ganjam",0.0,45.97,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04597.00MT
12,13,21OR200500000302,Odisha,2004-05,Baleshwar,M/S Subhrakeshigangadhar coldstorage (P) Ltd.,"Jalsohoria, Sohoria, Dehurda, Balasore",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
13,14,21OR200600000307,Odisha,2005-06,Cuttack,M/S Shree Jagannath Coldstorage and Ice plant,"Nischintakoili, Cuttack",0.0,24.09,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
14,15,21OR200700000308,Odisha,2006-07,Jajapur,M/S Lalbahadur Cold Storage,"Raijhar, Badachana, Jajpur",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05050.00MT
15,16,21AOR0CS000003,Odisha,2016-17,Bhadrak,Chakadola Shital Bhandar,"Village- Parbati, Taluka- Bhandaripokhari, Distt.- Bhadrak (Odisha)",750.0,214.2,NHB,Completed,COLD / CA STORAGECOLD STORAGE49982.37MT
