,0,1,2,3,4,5,6,7,8,9,10,11
0,1,03PJ200000000402,Punjab,2000-01,Ludhiana,Fateh cold Storage Pvt. Ltd,V: Ayalipurd,0.0,36.18,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03617.00MT
1,2,03PJ200000000438,Punjab,2000-01,Patiala,Mann Cold Storage,V: Ramnagar,0.0,29.87,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02986.00MT
2,3,03PJ200000000394,Punjab,2000-01,Bathinda,Canary Cold Store Pvt. Ltd,V: Rampura phul,0.0,24.76,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02690.00MT
3,4,03PJ200100000439,Punjab,2000-01,Patiala,Multipurpose Cold Storage Pvt. Ltd,V: Sanour,0.0,36.48,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04192.00MT
4,5,03PJ20010000214,Punjab,2001-02,Patiala,Guru Teg Bahadur Cold Storage & Ice Factory (P) Ltd.,"Patiala, (Punjab)",0.0,25.46,NHB,Completed,COLD / CA STORAGECOLD STORAGE02546.00MT
5,6,03PJ200100000436,Punjab,2001-02,Patiala,Manav Cold Storage Pvt. Ltd,Nabha,0.0,38.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04166.00MT
6,7,03PJ200100000401,Punjab,2001-02,Jalandhar,Dheeraj Cold Storage Pvt. Ltd,V: Mund,0.0,42.19,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04218.00MT
7,8,03PJ200100000386,Punjab,2001-02,Patiala,Baba Shiva Papers Pvt Ltd,V: Jallalpur,0.0,18.68,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02240.00MT
8,9,03PJ200100000416,Punjab,2001-02,Bathinda,Harnam Cold Storage,V: Rampura Phul,0.0,25.96,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06085.00MT
9,10,03PJ200100000446,Punjab,2001-02,Patiala,Rakesh Agro Tech Pvt Ltd,V: Kheda Gajju,0.0,13.28,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01744.00MT
10,11,03PJ200200000429,Punjab,2001-02,Mansa,Khiala Cold Store Pvt. Ltd.,V: Malikpur Khiala,0.0,16.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02107.00MT
11,12,03PJ200200000419,Punjab,2001-02,Fatehgarh Sahib,J S Cold Storage Pvt Ltd,V: Amloh,0.0,14.96,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02076.00MT
12,13,03PJ200200000435,Punjab,2001-02,Ludhiana,Machhiwara Agro Cold Storage Pvt. Ltd.,Gardhi Tarkhana,0.0,21.25,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02672.00MT
13,14,03PJ200200000434,Punjab,2001-02,Jalandhar,Ladhar Cold Storage(I),V: Ladhran,0.0,27.12,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03368.00MT
14,15,03PJ200200000462,Punjab,2001-02,Jalandhar,Toor Agro Cold Storage P Ltd,V: Roopawali,0.0,27.26,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03006.00MT
15,16,03PJ200200000422,Punjab,2001-02,Sangrur,Janta Cold Store,V: Bhadaur,0.0,19.83,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02499.00MT
16,17,03PJ200200000449,Punjab,2002-03,Jalandhar,S M Cold Warehouse Pvt. Ltd,V: Fatehpur,0.0,33.46,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03784.00MT
17,18,03PJ200200000457,Punjab,2002-03,Amritsar,Shah Cold Store,V: Mianwind,0.0,28.8,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03336.00MT
18,19,03PJ20020000218,Punjab,2002-03,Bathinda,Anil Kumar Cold Storage Pvt. Ltd.,Bhatinda (Punjab),0.0,32.03,NHB,Completed,COLD / CA STORAGECOLD STORAGE03203.00MT
19,20,03PJ20020000217,Punjab,2002-03,Bathinda,Deep Cold Storage Pvt. Ltd. Rampura,Bhatinda (Punjab),0.0,23.84,NHB,Completed,COLD / CA STORAGECOLD STORAGE02384.00MT
20,21,03PJ20020000219,Punjab,2002-03,Jalandhar,Himalaya Cold Storage,Jallandhar (Punjab),0.0,15.01,NHB,Completed,COLD / CA STORAGECOLD STORAGE01501.00MT
21,22,03PJ20020000216,Punjab,2002-03,Moga,K.C. Bansal Cold Storage Pvt. Ltd.,Moga (Punjab),0.0,34.03,NHB,Completed,COLD / CA STORAGECOLD STORAGE03403.00MT
22,23,03PJ20020000220,Punjab,2002-03,Rupnagar,Tarlok Singh & Co.,Ropar (Punjab),0.0,14.9,NHB,Completed,COLD / CA STORAGECOLD STORAGE01490.00MT
23,24,03PJ200200000382,Punjab,2002-03,Patiala,Anaesthetic Gases Pvt. Ltd.,Vill:Gholumajra,0.0,30.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03567.00MT
24,25,03PJ200200000400,Punjab,2002-03,Faridkot,Dhawan Cold Storage Pvt. Ltd.,Kotkapura Rd. Jaito,0.0,15.82,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02117.00MT
25,26,03PJ200200000418,Punjab,2002-03,Bathinda,India Cold Storage & Ice Factory,Vill: Bhokhra,0.0,16.25,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03114.00MT
26,27,03PJ200200000425,Punjab,2002-03,Ludhiana,Kakkar Cold Storage,V: Bondli,0.0,9.6,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01640.00MT
27,28,03PJ200200000456,Punjab,2002-03,Bathinda,Sawan Cold Storage,Rampura Phul,0.0,29.79,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04660.00MT
28,29,03PJ200200000415,Punjab,2002-03,Bathinda,Hargobind Cold Store & Ice Factory,V: Gill Kalan,0.0,25.44,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04000.00MT
29,30,03PJ200300000461,Punjab,2003-04,Bathinda,Tek Cold Storage,Rampura phul,0.0,18.84,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02669.33MT
30,31,03PJ200400000381,Punjab,2003-04,Patiala,Amar Ice & Cold Storage,Nabha,0.0,16.36,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02416.40MT
31,32,03PJ200400000411,Punjab,2003-04,Rupnagar,Gurbachan Singh Cold Storage P Ltd.,"Mohali,",0.0,28.22,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04000.00MT
32,33,03PJ20040000221,Punjab,2004-05,Amritsar,"Golden Almond (India), (P), Ltd, Amritsar",Amritsar,0.0,11.91,NHB,Completed,COLD / CA STORAGECOLD STORAGE01191.00MT
33,34,03PJ20040000222,Punjab,2004-05,Amritsar,"M/s Marwah Cold Storage, Amritsar",Amritsar,0.0,6.23,NHB,Completed,COLD / CA STORAGECOLD STORAGE0623.00MT
34,35,03PJ200400000390,Punjab,2004-05,Bathinda,Bhai Rupa Cold Storage Pvt. Ltd.,Vill : Buraj Gill,0.0,26.88,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04377.50MT
35,36,03PJ200400000424,Punjab,2004-05,Jalandhar,Juneja Cold Storage,VPO : Jandu Singra,0.0,5.02,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02009.00MT
36,37,03PJ200400000437,Punjab,2004-05,Jalandhar,Mandip Farm Cold Storage,Nakodar road,0.0,7.89,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03154.00MT
37,38,03PJ200400000441,Punjab,2004-05,Jalandhar,Nirmal Cold Storage,Nakodar road,0.0,4.52,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01806.00MT
38,39,03PJ200400000399,Punjab,2004-05,Patiala,Dhakauli Cold Storage Pvt. Ltd.,V: Dhakauli,0.0,22.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02480.00MT
39,40,03PJ200500000398,Punjab,2004-05,Hoshiarpur,Dashmesh Cold Storage,Vill : Daha,0.0,16.64,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01664.00MT
40,41,03PJ200500000410,Punjab,2004-05,Ludhiana,Gurbachan Cold Store,Jagraon,0.0,9.32,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02681.00MT
41,42,03PJ200500000458,Punjab,2004-05,Jalandhar,Sham Lal Mohan Agril. Farm,VPO : Lambra,0.0,18.94,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01894.00MT
42,43,03PJ200500000444,Punjab,2004-05,Moga,R L Aggarwal Cold Storage Pvt. Ltd.,VPO: Badhan kalan,0.0,17.64,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02180.00MT
43,44,03PJ200500000450,Punjab,2004-05,Jalandhar,S M Warehouse (P) Ltd. - II,"Vill. - Fatehpur, PO Udhopur, Jalandhar",0.0,16.54,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01867.00MT
44,45,03PJ20050000227,Punjab,2005-06,Sangrur,"International Fresh Farm Products (India), Ltd","Vill-Chhamo, PO-Bhawaniga, Dist-Sangrur",0.0,50.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE06800.00MT
45,46,03PJ200500000463,Punjab,2005-06,Jalandhar,Toor Agro Cold Storage Pvt. Ltd.,Vill : Rupewali,0.0,13.99,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01927.00MT
46,47,03PJ200500000413,Punjab,2005-06,Hoshiarpur,Guru Nanak Cold Storage and Allied Industries,"VPO Pur Hiran, near bye-pass jalandhar road",0.0,41.94,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05305.00MT
47,48,03PJ200500000455,Punjab,2005-06,Jalandhar,Saroya Cold Storage,Waryana,0.0,11.07,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04432.00MT
48,49,03PJ200500000459,Punjab,2005-06,Jalandhar,Simmer Cold Storage,Quadianwali via Jamsher,0.0,5.24,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03408.00MT
49,50,03PJ200500000404,Punjab,2005-06,Moga,Gagan Cold Store,V: Dallah,0.0,14.92,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02000.00MT
50,51,03PJ200500000384,Punjab,2005-06,Jalandhar,Ashirwad Cold Storage,"Jandha Sarai Road, Near Kartarpur",0.0,9.05,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03975.00MT
51,52,03PJ200500000420,Punjab,2005-06,Patiala,Jain Cold Storage,"Bye Pass, Rajpura",0.0,5.02,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE00.00MT
52,53,03PJ200500000421,Punjab,2005-06,Patiala,Jain Ice & Cold Storage,"Bahera Road, Patiala",0.0,2.3,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE0525.00MT
53,54,03PJ200500000454,Punjab,2005-06,Sangrur,Sargam Cold Storage Pvt. Ltd.,"Vill: Dhanaula, Teh: Barnala",0.0,14.06,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04000.00MT
54,55,03PJ200500000383,Punjab,2005-06,Kapurthala,Anand Cold Storage,"Dabpurji, Kartarpur Road",0.0,11.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01383.00MT
55,56,03PJ200500000391,Punjab,2005-06,Bathinda,Bhai Rupa Cold Storage (P) Ltd. - (II),"Bhagta Bhai Ka, Bhai rupa",0.0,15.88,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02250.00MT
56,57,03PJ200500000403,Punjab,2005-06,Fatehgarh Sahib,Friends Cold Storage (P) Ltd.,"Bahera Road, Patiala",0.0,12.05,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02100.00MT
57,58,03PJ200500000426,Punjab,2005-06,Ludhiana,Kakkar Cold Storage,"Bondli, Chandigarh Road, Samrala",0.0,8.87,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01000.00MT
58,59,03PJ200500000428,Punjab,2005-06,Jalandhar,Kapsons Cold Storage & Ice Works,"Sura, PO - Nulli, Anantpur Road",0.0,22.81,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02193.00MT
59,60,03PJ200600000397,Punjab,2005-06,Moga,Chawla Cold Storage,"Charik Road, Moga",0.0,16.65,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02976.00MT
60,61,03PJ200600000431,Punjab,2005-06,Bathinda,Kissan Cold Store,VPO Harnam Singh Wala,0.0,11.89,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03360.00MT
61,62,03PJ20060000223,Punjab,2006-07,Ludhiana,"Punjab Cold Storage,","V.P.O-Madiani, Dist-Ludhiana(PB)",0.0,6.25,NHB,Completed,COLD / CA STORAGECOLD STORAGE02502.00MT
62,63,03PJ200600000445,Punjab,2006-07,Jalandhar,Raj Ice & Oil Mills,Ladowali Road,0.0,2.69,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01105.00MT
63,64,03PJ200600000453,Punjab,2006-07,Hoshiarpur,Sandhu Cold Storage,VPO - Bhagpur,0.0,1.72,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02400.00MT
64,65,03PJ200700000452,Punjab,2006-07,Jalandhar,Sampuran Cold Storage P Ltd,VPO Kohala,0.0,5.97,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01854.00MT
65,66,03PJ200700000412,Punjab,2006-07,Kapurthala,Guru Nanak Cold Storage,"Vill. - Bahui, PO - Sheikhpur",0.0,21.29,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04662.00MT
66,67,03PJ200700000385,Punjab,2006-07,Bathinda,Avtar Cold Storage Pvt. Ltd.,"Barnala Road, Rampura Phul",0.0,16.55,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04012.50MT
67,68,03PJ200700000464,Punjab,2006-07,Bathinda,V.R.Cold Storage,"Rampuraphul, Bhatinda",0.0,15.71,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03908.66MT
68,69,03PJ200800000433,Punjab,2008-09,Jalandhar,Ladhar Cold Storage (II),"Ladhran, Nakodar",0.0,8.16,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01898.00MT
69,70,03PJ200800000387,Punjab,2008-09,Jalandhar,Bal Cold Storage,Usmanpur,0.0,11.48,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02424.00MT
70,71,03PJ200800000389,Punjab,2008-09,Jalandhar,Beni Cold Warehouse (P) Ltd.,"Loharan, ChittinRoad",0.0,26.12,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05531.00MT
71,72,03PJ200800000395,Punjab,2008-09,Jalandhar,Chacha Cold Storage,"Mand, Kapurthala Road",0.0,9.27,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01868.00MT
72,73,03PJ200800000405,Punjab,2008-09,Fatehgarh Sahib,Ghunder Cold Storage,"Shahpur, Amloh",0.0,10.14,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02029.00MT
73,74,03PJ200800000406,Punjab,2008-09,Jalandhar,Giani fruits and Vegetables Cold Warehouse,Khambra,0.0,24.32,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04934.00MT
74,75,03PJ200800000407,Punjab,2008-09,Hoshiarpur,Gill Cold Store,"Maruli Brahmana, Bassi Daulat Khan",0.0,10.13,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01013.00MT
75,76,03PJ200800000414,Punjab,2008-09,Kapurthala,Guru Teg Bahadur Cold Storage,"Madhopur, jallowal",0.0,3.85,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE0374.00MT
76,77,03PJ200800000417,Punjab,2008-09,Jalandhar,Hundal Cold Storage,"Wariana, Nagra",0.0,22.8,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04548.00MT
77,78,03PJ200800000423,Punjab,2008-09,Jalandhar,Joshan farm & Cold Storage,"Toti, Sherpur Dona, Sultanpur",0.0,26.68,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05777.00MT
78,79,03PJ200800000432,Punjab,2008-09,Kapurthala,K.F. Cold Storage,Madho Janda,0.0,23.69,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04869.00MT
79,80,03PJ200800000427,Punjab,2008-09,Kapurthala,Kapoor Farm Cold Storage,"Nasirewal, Teh.- Sultanpur Lodhi",0.0,23.72,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04872.00MT
80,81,03PJ200800000440,Punjab,2008-09,Jalandhar,New Hari Cold Storage,Hazara,0.0,21.5,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02150.00MT
81,82,03PJ200800000442,Punjab,2008-09,Bathinda,P B Cold Storage,"Barnala Road, Rampuraphul",0.0,3.47,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01690.00MT
82,83,03PJ200800000443,Punjab,2008-09,Jalandhar,Punjab CS & Ice Factory,Phoriwal,0.0,17.58,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03527.00MT
83,84,03PJ200800000448,Punjab,2008-09,Kapurthala,Ranjit Cold Storage,"Jawalpur, PO - Khanowal",0.0,15.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02928.00MT
84,85,03PJ200800000451,Punjab,2008-09,Jalandhar,S S Cold Store & Agro Products,"Hussan Munda Road, PO-Kartarpur",0.0,25.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05907.00MT
85,86,03PJ200800000388,Punjab,2008-09,Jalandhar,Beas Cold Storage,QuaidIanwali,0.0,19.44,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03806.00MT
