,0,1,2,3,4,5,6,7,8,9,10,11
0,1,08RJ20010000165,Rajasthan,2001-02,Jaipur,"Arawali Industries, Sawai Madhopur",Jaipur (Rajasthan),0.0,24.88,NHB,Completed,COLD / CA STORAGECOLD STORAGE02488.00MT
1,2,08RJ20010000166,Rajasthan,2001-02,Jaipur,Bhagwati Udyog Cold Storage & Ice Factory,Jaipur (Rajasthan),0.0,13.19,NHB,Completed,COLD / CA STORAGECOLD STORAGE01319.00MT
2,3,08RJ20020000169,Rajasthan,2002-03,Jodhpur,Ganpat Singh & Co. Pvt. Ltd.,Jodhpur,0.0,10.56,NHB,Completed,COLD / CA STORAGECOLD STORAGE01056.00MT
3,4,08RJ20020000167,Rajasthan,2002-03,Jaipur,Jagan Frozen Foods Pvt. Ltd.,Jaipur (Rajasthan),0.0,24.6,NHB,Completed,COLD / CA STORAGECOLD STORAGE02460.00MT
4,5,08RJ20020000168,Rajasthan,2002-03,Jaipur,Jaipur Cold Storage Pvt. Ltd.,Jaipur (Rajasthan),0.0,2.2,NHB,Completed,COLD / CA STORAGECOLD STORAGE0220.00MT
5,6,08RJ20020000170,Rajasthan,2002-03,Alwar,Jayanti Cold Storage,Alwar (Rajasthan),0.0,20.69,NHB,Completed,COLD / CA STORAGECOLD STORAGE02069.00MT
6,7,08RJ20070000171,Rajasthan,2007-08,Jaipur,Jaipur Cold Storage Pvt. Ltd.,Jaipur,0.0,11.49,NHB,Completed,COLD / CA STORAGECOLD STORAGE01149.00MT
7,8,08RJ20080000172,Rajasthan,2008-09,Bharatpur,Golden Cold Storage,"Bharatpur, Rajasthan",0.0,19.79,NHB,Completed,COLD / CA STORAGECOLD STORAGE02508.00MT
8,9,08RJ20090000173,Rajasthan,2009-10,Jaipur,Akash Cold Storage Pvt. Ltd,"Jaipur, Rajasthan",0.0,16.44,NHB,Completed,COLD / CA STORAGECOLD STORAGE01644.00MT
9,10,08ARJ0005068,Rajasthan,2011-12,Ganganagar,M/s M.G. Pack House (Prop. Smt Shakuntala Gera),"Plot No. F-247, Udhyog Vihar Phase-II, Distt. Sri Ganganagar.",28.93,10.84,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT12160.00TONNES
