,0,1,2,3,4,5,6,7,8,9,10,11
0,1,33TN20060000244,Tamil Nadu,2006-07,Chennai,Kem Agro Pvt. Ltd.,"No.12, 3rd Main Road, Kasturba Nagar, Adyar, Chennai",0.0,15.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE01067.58MT
1,2,33ATN0000007,Tamil Nadu,2006-07,Chennai,"Western Farm Fresh Pvt. Ltd.,","87, Arcot Road, virugambakkam, Chennai-600092, Tamil Nadu",16.17,1.16,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT12400.00MT PER ANNUM
2,3,33ATN0000361,Tamil Nadu,2007-08,Vellore,Dr. R.T. Rajan,"Secretary cum Hony. Director SOLAI PROGRAM(NGO-Reg. Society), Kanchalur Road, Christianpet Village, katpadi Block, Vellore District- 632059 (Tamil Nadu)",62.0,73.6,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT15000.00MT PER ANNUM
3,4,33ATN0003404,Tamil Nadu,2008-09,Krishnagiri,Sri Devraj Fruit Products P. Ltd,"N0-1 Kothapetta Vill, Taluka & Distt Krishnagiri-635001 (TN)",149.0,25.0,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER87200.00MT PER ANNUM
4,5,33ATN0003155,Tamil Nadu,2010-11,Chennai,Western Farm Fressh P.Ltd.,"37, Varadarajapuram. Poonamalle, Chennai - 56, Ph. - 044-26494892",451.4,25.0,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT1100.00MT PER ANNUM
5,6,33ATN0002881,Tamil Nadu,2010-11,Tiruchirappalli,Shivagami Cold Stores P. Ltd.( Mr. Sridhar & Lalitha Sridhar)),"Vadugapatti Village, Trichy District, Tamil Nadu",91.0,13.88,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER659.85MT PER ANNUM
6,7,33ATN0004464,Tamil Nadu,2011-12,Krishnagiri,Aam Fruits Private Limited,"S.Number 81/2A, 2B, Nagampatti Village, Mathur Post, Pochampalli TK, Krishnagiri-Distt., Pin-635203, (Tamilnadu)",115.0,21.09,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER5100.00MT PER ANNUM
7,8,33ATN0004272,Tamil Nadu,2011-12,Namakkal,Mr.C. Ravikumar,"S/O. Mr. N. Chinnusamy, 6/53, Salapalayam, Post-Reddipatty , Distt: Namakkal , Tamilnadu (India)",19.18,3.64,NHB,Completed,POST HARVEST INFRASTRUCTURETRANSPORT16.70TONNES
8,9,33ATN0004433,Tamil Nadu,2011-12,Krishnagiri,Sarojaa Agro Tech,"332-333/2, J. R. Nagar, Village-Kannandahalli, Taluka-Mathur, Distt- Krishnagiri-635203, (Tamilnadu)",70.5,18.27,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER6510.00TONNES
9,10,33ATN0004985,Tamil Nadu,2011-12,Krishnagiri,Pavithran Ripening Chamber,"Village-Jagadap, Taluka-Krishnagiri, Dist- Krishnagiri (Tamilnadu)",124.16,22.76,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER6120.00MT PER ANNUM
