,0,1,2,3,4,5,6,7,8,9,10,11
0,1,37TE20000000069,Telangana,1999-00,Rangareddy,M/s Samrat Cold Storage Pvt. Ltd.,"Bagh Hayathnagar, Hayathnagar mandal",0.0,44.15,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
1,2,37TE20000000070,Telangana,2000-01,Medak,M/s Neethi Cold Storage Pvt. Ltd.,"Pedhapur, Sadshivpet Mandal",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05100.00MT
2,3,37TE20000000073,Telangana,2000-01,Hyderabad,M/s Samyukta cold storage Pvt Ltd,Nacharam Industrial Area,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE09230.00MT
3,4,37TE20000000071,Telangana,2000-01,Nizamabad,M/s Vineet Cold Storage Pvt. Ltd.,Dharmaram Village,0.0,27.9,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03100.00MT
4,5,37TE20010000072,Telangana,2000-01,Warangal,M/s Chandrakaran Cold Storage Pvt. Ltd.,"Enumamula,Warangal",0.0,36.55,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06300.00MT
5,6,37TE20010000074,Telangana,2001-02,Mahbubnagar,M/s Permalla Cold Storage Complex Pvt Ltd,Amangal Village,0.0,32.52,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03300.00MT
6,7,37TE20010000075,Telangana,2001-02,Rangareddy,M/s Mandava Cold Storage Pvt. Ltd.,"Kompally, Qutbullapur mandal",0.0,35.5,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03550.00MT
7,8,37TE20020000076,Telangana,2001-02,Nizamabad,M/s Sarang Hi Tech Cold Storage Pvt. Ltd.,Nizamabad,0.0,48.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04800.00MT
8,9,37TE20030000077,Telangana,2003-04,Rangareddy,M/s Rajgarhia Cold Storage Pvt. Ltd.,"Yellampeta, Medchal Mandal,",0.0,35.17,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04100.00MT
9,10,37TE20050000078,Telangana,2004-05,Khammam,M/s Matha Cold Storage Pvt. Ltd.,Madhira,0.0,31.3,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE09395.00MT
10,11,37TE20050000079,Telangana,2004-05,Warangal,M/s Hyndavi Cold Storage Pvt. Ltd.,"Hanumakonda, Warangal",0.0,24.24,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04395.00MT
11,12,37TE20050000080,Telangana,2004-05,Warangal,M/s Venkat Sai Cold Storage Pvt. Ltd.,"Hanumakonda, Warangal",0.0,36.67,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04627.00MT
12,13,37TE20050000082,Telangana,2005-06,Warangal,M/s Ambica Cold Storage Pvt. Ltd.,"Hanamkonda, Warangal",0.0,33.89,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07192.00MT
13,14,37TE20050000081,Telangana,2005-06,Rangareddy,M/s Gubba Agro Fresh Pvt. Ltd.,"Medchal, Rangareddy",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05710.00MT
14,15,37TE20050000083,Telangana,2005-06,Medak,M/s Nuziveedu Seeds Ltd.,"Mulug, Medak",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE09053.00MT
15,16,37TE20060000085,Telangana,2005-06,Khammam,Sri Lakshmi Vallabha Cold Storage Ltd.,"Madhira, Khammam Dt.",0.0,25.92,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE011599.00MT
16,17,37TE20060000084,Telangana,2005-06,Khammam,M/s Vijaya Krishna Spice & Seed Farms,Khammam,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05400.00MT
17,18,37TE20060000086,Telangana,2005-06,Khammam,M/s Gayatri Gargeya Cold Storage Pvt. Ltd.,"Prakash Nagar, Khammam",0.0,40.27,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07535.00MT
18,19,37TE20060000087,Telangana,2005-06,Nizamabad,M/s TRP Hitech Cold Storage Pvt. Ltd.,Khanpur,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05938.00MT
19,20,37TE20060000088,Telangana,2006-07,Warangal,M/s Vagdevi Cold Storage,Mogilicherla,0.0,43.9,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04950.00MT
20,21,37TE20070000089,Telangana,2006-07,Warangal,M/s Vijeta Cold Storage Co.,"Enumamula Grain Market, Warangal",0.0,44.24,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06624.80MT
21,22,37TE20070000091,Telangana,2006-07,Hyderabad,M/s Cold Care Agritech,"Autonagar, Hyderabad",0.0,30.46,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01959.00MT
22,23,37TE20070000090,Telangana,2006-07,Rangareddy,M/s Tirumala Tirupathi Cold Storage (P) Ltd.,"Medchal, Ranagareddy district",0.0,48.47,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05181.00MT
23,24,37TE20070000092,Telangana,2007-08,Nizamabad,M/s Global Cold Storage Pvt. Ltd.,"Gundaram Village, Ashok Farm, Nizamabad",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE09795.40MT
24,25,37TE20110000093,Telangana,2011-12,Warangal,M/S Chamundi Cold Storage (Shri Ravi Kumar Babbula & Shri Sudarshanama Babbula),"Sy. No.167/A & B, 167/B1 & B2, Enumamula Village, Hanumkonda Mandal, Warangal District",0.0,42.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04200.00MT
25,26,37TE20110000094,Telangana,2011-12,Khammam,M/s Sri Venkateswara Cold Storage,"M/s Shri Venkateswara Cold Storage Pvt Ltd, Sy No 597/A, Dendukuru(V), Madhira(M),",0.0,0.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
26,27,28AAP0020900,Telangana,2015-16,Nizamabad,Green Infrastructure Projects Pvt. Ltd. Director-Subrahmanyam Ch B S,"Village-Ankapur, Taluka-Armoor, Dist-Nizamabad (Andhra Pradesh)",136.73,22.69,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT115000.00MT PER ANNUM
27,28,28AAP0020955,Telangana,2015-16,Rangareddy,Green Infrastructure Projects Pvt. Ltd.-1,"Village-H/O Nyalata, Ramannaguda, Chevella, Taluka-Chevella, Distt.-Ranga Reddy (A.P.)",107.5,16.7,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT115000.00MT PER ANNUM
28,29,37TTG0000055,Telangana,2017-18,Karimnagar,Lalit Kumar (Prop: Keshav Das & Sons),"Village- Medipally, Taluka- Medipally, Distt.- Karimnagar (Telangana).",168.7,17.5,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA16200.00TONNES
