,0,1,2,3,4,5,6,7,8,9,10,11
0,1,LKN 001,Uttar Pradesh,1999-00,Meerut,Akshita and Antriksha cold storage,Meerut,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08842.00MT
1,2,LKN 061,Uttar Pradesh,1999-00,Etawah,K.L Sheet grih,Etawah,0.0,30.13,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05600.00MT
2,3,LKN 006,Uttar Pradesh,1999-00,Lucknow,Adarsh Satendra cold sto. & allied Indust.,Lucknow,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06881.00MT
3,4,LKN 004,Uttar Pradesh,1999-00,Unnao,Ahuja cold storage,Unnao,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE09800.00MT
4,5,LKN 005,Uttar Pradesh,1999-00,Unnao,Maya shitalayaPvt Ltd,Unnao,0.0,26.47,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE09760.00MT
5,6,LKN 008,Uttar Pradesh,1999-00,Agra,H P Ice and Cold Storage,Agra,0.0,21.54,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03944.80MT
6,7,LKN 015,Uttar Pradesh,1999-00,Mainpuri,Dhirendra sheet grih,Mainpuri,0.0,21.09,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04800.00MT
7,8,LKN 016,Uttar Pradesh,1999-00,Allahabad,Raj Kr Sharad Kr Sheet grih,Allahabad,0.0,29.25,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03840.00MT
8,9,LKN 018,Uttar Pradesh,1999-00,Bahraich,Nanapara cold Storage,Bahraich,0.0,16.48,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
9,10,LKN 017,Uttar Pradesh,1999-00,Faizabad,Shakti Cold storage & Ice Factory,Faizabad,0.0,26.94,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04800.00MT
10,11,LKN 020,Uttar Pradesh,1999-00,Ambedakar Nagar,Umang Cold Storage & Ice Factory Pvt. Ltd.,Ambedkar Nagar,0.0,29.34,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03965.34MT
11,12,LKN 021,Uttar Pradesh,1999-00,Bulandshahar,Jain Trader,Bulandsahar,0.0,24.07,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04052.00MT
12,13,LKN 026,Uttar Pradesh,1999-00,Firozabad,Hardayal Margshree cold store,Firozabad,0.0,31.49,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
13,14,LKN 023,Uttar Pradesh,1999-00,Budaun,Narain cold stoge & Ice factory,Budaun,0.0,10.22,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02121.00MT
14,15,LKN 024,Uttar Pradesh,1999-00,Budaun,Singh brothers cold stoge,Budaun,0.0,33.57,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04927.70MT
15,16,LKN 035,Uttar Pradesh,1999-00,Firozabad,S.P Ice & Cold Store,Firozabad,0.0,20.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05330.00MT
16,17,LKN 010,Uttar Pradesh,1999-00,Agra,Bankey bihari Industries Pvt Ltd,Agra,0.0,40.78,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08462.40MT
17,18,LKN 037,Uttar Pradesh,1999-00,Kannauj,Kailash Preservation Pvt. Ltd.,Kannauj,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE010455.00MT
18,19,LKN 041,Uttar Pradesh,1999-00,Firozabad,Satyadeo Cold Storage,Shikohabad,0.0,24.47,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03769.43MT
19,20,LKN 022,Uttar Pradesh,1999-00,Bulandshahar,Shikarpur Cold Storage & General Mills Pvt. Ltd.,Buladshahar,0.0,26.49,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04283.10MT
20,21,LKN 036,Uttar Pradesh,2000-01,Shahjahanpur,Hind Cold Storage,Shahjahanpur,0.0,20.15,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02969.00MT
21,22,LKN 056,Uttar Pradesh,2000-01,Hardoi,R A Cold storage,Hardoi,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE09111.30MT
22,23,LKN 038,Uttar Pradesh,2000-01,Farrukhabad,Maa Vaishno Cold storage,Farrukhabad,0.0,33.32,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07033.40MT
23,24,LKN 047,Uttar Pradesh,2000-01,Agra,Babulal Sugandhi cold storage,Agra,0.0,44.75,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08439.10MT
24,25,LKN 043,Uttar Pradesh,2000-01,Firozabad,Goverdhan Sheet Grih Pvt. Ltd.,Firozabad,0.0,31.14,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06007.00MT
25,26,LKN 051,Uttar Pradesh,2000-01,Agra,Ketki Ice & Cold Storage,Agra,0.0,36.88,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08843.00MT
26,27,LKN 042,Uttar Pradesh,2000-01,Firozabad,L.P Cold Storage Pvt. Ltd.,Shikohabad,0.0,40.29,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07770.00MT
27,28,LKN 046,Uttar Pradesh,2000-01,Etah,Maa Gayatri Cold storage & Ice factory,Etah,0.0,25.33,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04498.00MT
28,29,LKN 054,Uttar Pradesh,2000-01,Auraiya,Bharat cold storage and ice factory,Auraiya,0.0,16.25,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04412.00MT
29,30,LKN 052,Uttar Pradesh,2000-01,Hardoi,Dinesh cold storage,Hardoi,0.0,39.6,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05600.00MT
30,31,LKN 055,Uttar Pradesh,2000-01,Etawah,Ganga cold storage,Etawah,0.0,28.4,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05787.70MT
31,32,LKN 053,Uttar Pradesh,2000-01,Etawah,T.S cold storage,Etawah,0.0,22.21,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE09600.00MT
32,33,LKN 060,Uttar Pradesh,2000-01,Farrukhabad,Harish Chandra Cold storage,Farrukhabad,0.0,45.79,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE012647.00MT
33,34,09UP200000002,Uttar Pradesh,2000-01,Amroha,Adarsh Cold Storage & Ice Factory,Allahabad (UP),0.0,13.63,NHB,Completed,COLD / CA STORAGECOLD STORAGE01363.00MT
34,35,09UP200000001,Uttar Pradesh,2000-01,Allahabad,Kanodia Cold Storage,Allahabad (UP),0.0,4.75,NHB,Completed,COLD / CA STORAGECOLD STORAGE0475.00MT
35,36,09UP200000004,Uttar Pradesh,2000-01,Allahabad,Kesarwani Sheetiaya,Allahabad (UP),0.0,13.46,NHB,Completed,COLD / CA STORAGECOLD STORAGE01346.00MT
36,37,09UP200000003,Uttar Pradesh,2000-01,Firozabad,Satyendra Cold Storage,Shikohabad (UP),0.0,8.91,NHB,Completed,COLD / CA STORAGECOLD STORAGE0891.00MT
37,38,LKN 065,Uttar Pradesh,2000-01,Etah,Jai Ambey cold storage,Etah,0.0,20.26,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03948.50MT
38,39,LKN 067,Uttar Pradesh,2000-01,Ghaziabad,Rishab Farms and Industries unit,Ghaziabad,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE014708.00MT
39,40,LKN 066,Uttar Pradesh,2000-01,Hardoi,Mallawan cold storage,Hardoi,0.0,16.08,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04570.00MT
40,41,LKN 070,Uttar Pradesh,2000-01,Faizabad,Shri Krishana Cold storage,Faizabad,0.0,29.12,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04469.00MT
41,42,LKN 069,Uttar Pradesh,2000-01,Firozabad,Thakur Cold Storage,Firozabad,0.0,26.3,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04448.70MT
42,43,LKN 071,Uttar Pradesh,2000-01,Meerut,Vishnu Cold Storage,Meerut,0.0,10.41,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01598.00MT
43,44,LKN 116,Uttar Pradesh,2000-01,Budaun,Mahalaxmi cold stoarge,Badaun,0.0,26.44,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04800.00MT
44,45,LKN 075,Uttar Pradesh,2000-01,Etawah,Pawan Sheet grih Pvt Ltd.,Etawah,0.0,13.09,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04097.00MT
45,46,LKN 088,Uttar Pradesh,2000-01,Hardoi,S M Preservers,Hardoi,0.0,45.64,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08545.00MT
46,47,LKN 076,Uttar Pradesh,2000-01,Meerut,Vijay Farm cold storage,Meerut,0.0,36.43,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04664.30MT
47,48,LKN 077,Uttar Pradesh,2000-01,Ballia,Kasturi cold storage and allied Ind.,Ballia,0.0,34.35,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04982.09MT
48,49,LKN 078,Uttar Pradesh,2000-01,Shahjahanpur,Chhotey Lal cold storage and all. Ind.,Shahjahanpur,0.0,20.98,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02865.00MT
49,50,LKN 083,Uttar Pradesh,2000-01,Rae Bareli,B J Industries,Raebareilly,0.0,47.15,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
50,51,LKN 079,Uttar Pradesh,2000-01,Farrukhabad,A K Cold storage,Farrukhabad,0.0,38.08,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE010263.00MT
51,52,LKN 110,Uttar Pradesh,2000-01,Ballia,Shivam Cold storage,Balia,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE010508.00MT
52,53,LKN 084,Uttar Pradesh,2000-01,Firozabad,Balbir Cold storages pvt. Ltd,Firozabad,0.0,24.25,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06661.00MT
53,54,LKN 093,Uttar Pradesh,2000-01,Budaun,Welga Foods,Badaun,0.0,8.15,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01000.00MT
54,55,LKN 091,Uttar Pradesh,2000-01,Meerut,Swati Milk Products,Meerut,0.0,48.07,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08000.00MT
55,56,LKN 095,Uttar Pradesh,2000-01,Unnao,Super Cold sorages,Unnao,0.0,25.04,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06285.40MT
56,57,LKN 087,Uttar Pradesh,2000-01,Etawah,Anurag Sheet grah Pvt. Ltd,Etawah,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE014007.40MT
57,58,LKN 090,Uttar Pradesh,2000-01,Agra,Devika Cold storages,Agra,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07463.00MT
58,59,LKN 089,Uttar Pradesh,2000-01,Hathras,Harsha Cold storages,Hathras,0.0,27.5,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04000.00MT
