,0,1,2,3,4,5,6,7,8,9,10,11
0,1,05AUA0001911,Uttrakhand,2013-14,Dehradun,BAVAR SILGOAN FARMERS AGRO PROCESSING AND MARKETING PRIVATE LIMITED,"KHASRA NO. 432, CHAUSAL KHAT SILGOAN BAVAR, PATTI SILIGOAN, TEHSEEL TYUNI, DEHRADUN, UTTARAKHAND",753.75,312.75,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA5.00TONNES  POST HARVEST INFRASTRUCTUREPRE-COOLINGNA2.00TONNES  POST HARVEST INFRASTRUCTUREREFER VANNA2.00TONNES
1,2,05AUA0001906,Uttrakhand,2013-14,Uttarkashi,DHARI KAFNOL FARMERS AGRO PROCESSING AND MARKETING PRIVATE LIMITED,"VILLAGE TIA PATTI, MUNGARSANTI, TEHSIL-BADKOT, DISTRICT-UTTARKASHI, UTTARAKHAND",753.75,312.75,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA5.00TONNES  POST HARVEST INFRASTRUCTUREPRE-COOLINGNA2.00TONNES  POST HARVEST INFRASTRUCTUREREFER VANNA2.00TONNES
2,3,05AUA0001905,Uttrakhand,2013-14,Uttarkashi,PUROLA NAITWAR FARM COLLECTIVES PRIVATE LIMITED,"VILLAGE GAIND, TEHSEEL PUROLA, UTTARKASHI, UTTARKHAND",753.75,314.46,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA5.00TONNES  POST HARVEST INFRASTRUCTUREPRE-COOLINGNA2.00TONNES  POST HARVEST INFRASTRUCTUREREFER VANNA2.00TONNES
3,4,05AUA0001896,Uttrakhand,2013-14,Uttarkashi,Syuri Nogoan Fruits Collection Private Limited,"Village- Kimmi, Taluka-Barkot, Dist-Uttarkashi (Uttarakhand)",753.75,314.46,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA5.00TONNES  POST HARVEST INFRASTRUCTUREPRE-COOLINGNA2.00TONNES  POST HARVEST INFRASTRUCTUREREFER VANNA2.00TONNES
4,5,05AUA0CS000002,Uttrakhand,2013-14,Dehradun,Flex Foods Limited,"Village-Majri Grant, Taluka-Dehradun, Dist-Dehradun (Uttrakhand)",500.0,103.78,NHB,Completed,COLD / CA STORAGECOLD STORAGE61128.00MT
5,6,05AUA0002002,Uttrakhand,2014-15,Hardwar,LEAFYGREENS AGRO PRIVATE LTD,"HARIDWAR BY PASS ROAD, BHAGWANPUR, ROORKEE, DISTRICT HARIDWAR, UTTARAKHAND - 247667",194.75,24.0,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER0160.00TONNES
6,7,05AUA0CS000003,Uttrakhand,2014-15,Udham Singh Nagar,Annapurna Cold Storage & Ice Factory,"Village-Matkota, Taluka-Kichha, Dist-U.S. Nagar (Uttrakhand)",280.0,90.68,NHB,Completed,COLD / CA STORAGECA STORAGE34016.00MT
7,8,05AUA0002033,Uttrakhand,2014-15,Dehradun,Vijay Jhanjee,"Village- Bala Hissar, Taluka- Mussoorie, Distt.- Dehradun (Uttarakhand)",111.59,28.8,NHB,Completed,POST HARVEST INFRASTRUCTUREREFER VAN0327.00TONNES
8,9,05AUA0002023,Uttrakhand,2015-16,Uttarkashi,Harsil Gangotri Fruits Processing And Marketing Pvt. Ltd.,"Village- Tharali, Taluka- Bhatwari, Distt:- Uttarkashi (Uttarakhand)",248.0,86.84,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT015.00TONNES  POST HARVEST INFRASTRUCTUREREFER VAN014.00TONNES
9,10,05AUA0002022,Uttrakhand,2015-16,Uttarkashi,Taknor Jhala Fruits Collection And Procesing Pvt.Ltd.,"Village- Jhala, Taluka- Bhatwari, Distt:- Uttarkashi (Uttarakhand)",248.0,82.52,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT015.00TONNES  POST HARVEST INFRASTRUCTUREREFER VAN014.00TONNES
10,11,05AUA0CS000006,Uttrakhand,2015-16,Udham Singh Nagar,Grandeur Agrotech Pvt. Ltd.,"Plot No. 22, Sector-6, IIE, Pant Nagar Industral Area, Taluka- Rudrapur, Distt.- Udham Singh Nagar (Uttrakhand)",166.57,55.2,NHB,Completed,COLD / CA STORAGECOLD STORAGE1600.00MT
11,12,05AUA0002015,Uttrakhand,2015-16,Tehri Garhwal,Birban Singh Rawat,"Village-Basana, Taluka-Dhanolti, Dist-Tehri Garhwal (Uttrakhand)",9.8,5.25,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA0.00NOT GIVEN
12,13,05AUA0002043,Uttrakhand,2017-18,Uttarkashi,Jaj Mohan Singh Rawat,"Village- Kotgaon Mauja Bigna Dhar PO Netwar, Taluka- Moari, Distt.- Uttarkashi (Uttrakhand).",60.0,17.89,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA0.00NOT GIVEN
