,0,1,2,3,4,5,6,7,8,9,10,11
0,1,19WB20000000245,West Bengal,2000-01,Kolkata,Hindustan Ice and Cold Storage Co. Ltd.,Culcutta (West Bengal),0.0,2.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE0200.00MT
1,2,NCDC-WB-2001-21,West Bengal,2001-02,Hugli,"Boinchi Berala Sech""o"" SKUS Ltd.","Boinchi Berala Sech""o"" Sambhay Krishi Unnayan Samity Ltd. Distt. Hooghly",173.0,43.25,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE15000.00MT
2,3,NCDC-WB-2001-18,West Bengal,2001-02,Cooch Behar,Coochbehar Sambhay Himgarh Samiti Ltd.,Coochbehar Sambhay Himgarh Samiti Ltd. Distt. Coochbehar.,180.0,45.0,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE15000.00MT
3,4,NCDC-WB-2001-12,West Bengal,2001-02,Jalpaiguri,Falakata CADP Farmers service Cooperative Society Ltd Village Hedayetnegar P.O. Jateshwer,Falakata CADP Farmers service Cooperative Society Ltd Village Hedayetnegar P.O. Jateshwer,40.0,0.75,Through NCDC,Under Implementation,COLD / CA STORAGECOLD STORAGE175.00MT
4,5,NCDC-WB-2001-22,West Bengal,2001-02,Dakshin Dinajpur,Gangarampur Agril. Coop. Mktg. Socy. Ltd. Distt. Dakhin Dinajpur,Gangarampur Agril. Coop. Mktg. Socy. Ltd. Distt. Dakhin Dinajpur,203.0,50.0,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE15000.00MT
5,6,NCDC-WB-2001-16,West Bengal,2001-02,Hugli,Gourhati Samabay Himghar Ltd.,"Gourhati Samabay Himghar Ltd.District, Hooghly.",195.0,48.75,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE15000.00MT
6,7,NCDC-WB-2001-07,West Bengal,2001-02,North Twenty Four Parganas,"Habra large sized agril. Cooperative Society Ltd. , Jessore Road, At and P.O. Habra","Habra large sized agril. Cooperative Society Ltd. , Jessore Road, At & P.O. Habra",40.0,0.75,Through NCDC,Under Implementation,COLD / CA STORAGECOLD STORAGE175.00MT
7,8,NCDC-WB-2001-08,West Bengal,2001-02,Bankura,"Jotebehar Sambay Krishi Unnayan Samity Ltd; Jote Behar, P.O.","Jotebehar Sambay Krishi Unnayan Samity Ltd; Jote Behar, P.O. Behar, Distt. Bankura",40.0,0.75,Through NCDC,Under Implementation,COLD / CA STORAGECOLD STORAGE175.00MT
8,9,NCDC-WB-2001-17,West Bengal,2001-02,Hugli,Koachmali Boragori Sambhay Himgarh Ltd.,"Koachmali Boragori Sambhay Himgarh Ltd. Village Boragori P.O. Boinchi, Block Pandua Distt. Hoogly",169.0,42.25,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE15000.00MT
9,10,NCDC-WB-2001-03,West Bengal,2001-02,Barddhaman,Krishak Kalyan Sambay Himghar Ltd. Kashem Nagar,Krishak Kalyan Sambay Himghar Ltd. Kashem Nagar Distt. Burdwan,180.0,45.0,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE15000.00MT
10,11,NCDC-WB-2001-20,West Bengal,2001-02,Barddhaman,Kulti Sambhay Krishi Unnayan Samity Ltd,Kulti Sambhay Krishi Unnayan Samity Ltd village & P.O. Gram Kulti Distt. Burdwan,173.0,43.25,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE15000.00MT
11,12,NCDC-WB-2001-15,West Bengal,2001-02,Barddhaman,Kunurika Samabay Himghar Ltd; Gushkara P.S. Ausgram,Kunurika Samabay Himghar Ltd; Gushkara P.S. Ausgram,200.0,50.0,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE16000.00MT
12,13,NCDC-WB-2001-19,West Bengal,2001-02,Maldah,Malda Cooperative Cold Storage Ltd.Distt. Malda,Malda Cooperative Cold Storage Ltd.Distt. Malda,205.0,50.0,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE16000.00MT
13,14,NCDC-WB-2001-11,West Bengal,2001-02,Maldah,Malda Mango Coop.society Ltd. At Chalishapara P.O. Old Malda Pin-732128,Malda Mango Coop.society Ltd. At Chalishapara P.O. Old Malda Pin-732128,33.0,0.75,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE175.00MT
